SOURCE_ID,DATE,PERMITTED_ACRES,COMPLETED_ACRES,BURN_NAME,BURNTYPE_REPORTED,ENTITY_REQUESTING,LAT_PERMIT,LON_PERMIT,BURN_STATUS
ASF0774B,2021-11-11,2711,800,Rodeo-Chediski Broadcast East,Broadcast,"U.S. Forest Service, Apache Sitgreaves, Lakeside",34.228,-110.268,Complete
ASF214B,2021-11-11,3000,3000,BMRD Rodeo-Chediski RX (RCRX),Broadcast,"U.S. Forest Service, Apache Sitgreaves, Black Mesa",34.32,-110.512,Complete
PNF2005B,2021-11-12,750,750,Bradshaw Landscape,Broadcast,"U.S. Forest Service, Prescott, Bradshaw",34.44746925842473,-112.4529659576416,Complete
ASF214B,2021-11-12,1655,655,BMRD Rodeo-Chediski RX (RCRX),Broadcast,"U.S. Forest Service, Apache Sitgreaves, Black Mesa",34.31943289650417,-110.51405993652344,Complete
KNF0439B,2021-11-12,300,300,Blue Stem,Broadcast,"U.S. Forest Service, Kaibab, Tusayan",35.874928278289964,-111.88279602050781,Complete
ASF0774B,2021-11-12,2711,450,Rodeo-Chediski Broadcast East,Broadcast,"U.S. Forest Service, Apache Sitgreaves, Lakeside",34.228,-110.268,Complete
PNF2005B,2021-11-13,750,750,Bradshaw Landscape,Broadcast,"U.S. Forest Service, Prescott, Bradshaw",34.44637216338441,-112.45494006347656,Complete
ASF0774B,2021-11-13,2711,410,Rodeo-Chediski Broadcast East,Broadcast,"U.S. Forest Service, Apache Sitgreaves, Lakeside",34.228,-110.2168,Complete
ASF214B,2021-11-13,500,500,BMRD Rodeo-Chediski RX (RCRX),Broadcast,"U.S. Forest Service, Apache Sitgreaves, Black Mesa",34.343,-110.517,Complete
ASF0774B,2021-11-14,2711,0,Rodeo-Chediski Broadcast East,Broadcast,"U.S. Forest Service, Apache Sitgreaves, Lakeside",34.228,-110.268,Incomplete
PNF2005B,2021-11-14,500,100,Bradshaw Landscape,Broadcast,"U.S. Forest Service, Prescott, Bradshaw",34.451397448302636,-112.46506808471679,Complete
ASF214B,2021-11-14,500,500,BMRD Rodeo-Chediski RX (RCRX),Broadcast,"U.S. Forest Service, Apache Sitgreaves, Black Mesa",34.343,-110.517,Complete
A1S222B,2021-11-15,200,0,Flagstaff WUI,Broadcast,"Arizona Department of Forestry and Fire Management, NA, Northern District",35.191407145969514,-111.7579321899414,Incomplete
A4S1902B,2021-11-15,25,5,Camp LoMia Broadcast,Broadcast,"Arizona Department of Forestry and Fire Management, NA, Central District",34.416464043742536,-111.44324474334718,Complete
ASF0774B,2021-11-15,2711,0,Rodeo-Chediski Broadcast East,Broadcast,"U.S. Forest Service, Apache Sitgreaves, Lakeside",34.228,-110.268,Incomplete
PNF2005B,2021-11-15,500,0,Bradshaw Landscape,Broadcast,"U.S. Forest Service, Prescott, Bradshaw",34.44916795780016,-112.4677717514038,Incomplete
ASF214B,2021-11-15,500,0,BMRD Rodeo-Chediski RX (RCRX),Broadcast,"U.S. Forest Service, Apache Sitgreaves, Black Mesa",34.343,-110.517,Incomplete
KNF0146B,2021-11-15,515,0,Marteen,Broadcast,"U.S. Forest Service, Kaibab, Williams",35.43938580259256,-111.97883938598633,Incomplete
KNF0438B,2021-11-15,1465,1465,Reed,Broadcast,"U.S. Forest Service, Kaibab, Tusayan",35.928363914544754,-112.01968139648437,Complete
