Burn Date,Air District,County,Air Basin,Acres Requested,Acres Burned,Latitude,Longitude,Legal Location,Agency,Burn Unit,Burn Type,Fuel Type,Total Tons
1/7/2014,Northern Sierra AQMD,Nevada,Mountain Counties,3,3,39.365,-120.211,T11 R18 S29,US Forest Service,Alder Creek,Hand Pile,Slash,12
1/8/2014,Northern Sierra AQMD,Nevada,Mountain Counties,2,2,39.365,-120.211,T11 R18 S29,US Forest Service,Alder Creek,Hand Pile,Slash,8
1/8/2014,El Dorado County AQMD,El Dorado,Lake Tahoe,6,4,39.054,-120.121,T11 R18 S29,California State Parks,Hand Piles,Hand Pile,Slash,96
1/8/2014,El Dorado County AQMD,El Dorado,Lake Tahoe,5,2,38.792,-120.002,T11 R18 S29,US Forest Service,Luther,Broadcast,Slash,80
1/8/2014,Placer County APCD,Placer,Mountain Counties,2,2,39.28,-120.121,T11 R18 S29,Northstar Fire Department,Northstar Fuels Reduction Burn Pile Emmissions,Hand Pile,Slash,3.25
1/8/2014,Placer County APCD,Placer,Mountain Counties,2,2,39.28,-120.121,UNK,Northstar Fire Department,Northstar Fuels Reduction Burn Pile Emmissions,Hand Pile,Slash,3.25
1/8/2014,El Dorado County AQMD,El Dorado,Mountain Counties,8,4,38.777,-120.294,T11 R18 S29,US Forest Service,Roadrunner,Hand Pile,Natural,20
1/9/2014,Northern Sierra AQMD,Nevada,Mountain Counties,2,2,39.365,-120.211,UNK,US Forest Service,Alder Creek,Hand Pile,Slash,8
1/9/2014,El Dorado County AQMD,El Dorado,Lake Tahoe,5,1,38.792,-120.002,UNK,US Forest Service,Luther,Broadcast,Slash,40
1/9/2014,Placer County APCD,Placer,Mountain Counties,2,2,39.28,-120.121,UNK,Northstar Fire Department,Northstar Fuels Reduction Burn Pile Emmissions,Hand Pile,Slash,3.25
1/9/2014,Placer County APCD,Placer,Mountain Counties,2,2,39.28,-120.121,UNK,Northstar Fire Department,Northstar Fuels Reduction Burn Pile Emmissions,Hand Pile,Slash,3.25
1/9/2014,El Dorado County AQMD,El Dorado,Mountain Counties,4,1.5,38.777,-120.294,UNK,US Forest Service,Roadrunner,Hand Pile,Natural,7.5
1/9/2014,Placer County APCD,Placer,Lake Tahoe,2,1,39.177,-120.143,UNK,US Forest Service,SMP not found,UNK,UNK,UNK
1/10/2014,Butte County AQMD,Butte,Sacramento Valley,50,50,39.556,-121.993,UNK,US Fish and Wildlife Services,14_SAC_RIV_RIPARIAN SANCTUARY_UPLAND_RX,Broadcast,Natural,0
1/17/2014,El Dorado County AQMD,El Dorado,Mountain Counties,5,5,38.904,-120.663,UNK,University of California,Landing & Group excavator piles,Machine Pile,Slash,117.5
1/23/2014,El Dorado County AQMD,El Dorado,Lake Tahoe,5,1,38.792,-120.002,UNK,US Forest Service,Luther,Broadcast,Slash,40
1/24/2014,Northern Sierra AQMD,Plumas,Mountain Counties,114,35,40.01,-120.879,UNK,US Forest Service,Refuge Broadcast Burn,Broadcast,Natural,350
1/28/2014,Northern Sierra AQMD,Plumas,Mountain Counties,55,10,39.966,-120.866,UNK,US Forest Service,2014-Empire,UNK,UNK,UNK
1/28/2014,El Dorado County AQMD,El Dorado,Lake Tahoe,3,2,38.792,-120.002,UNK,US Forest Service,Luther,Broadcast,Slash,80
1/29/2014,Northern Sierra AQMD,Nevada,Mountain Counties,2,4,39.365,-120.211,UNK,US Forest Service,Alder Creek,Hand Pile,Slash,16
1/29/2014,El Dorado County AQMD,El Dorado,Lake Tahoe,10,2,38.792,-120.002,UNK,US Forest Service,Luther,Broadcast,Slash,80
1/29/2014,El Dorado County AQMD,El Dorado,Mountain Counties,4,3,38.853,-120.494,UNK,Sierra Pacific Industries,NOODLES EAST BROADCAST,Broadcast,Slash,75
1/29/2014,Placer County APCD,Placer,Mountain Counties,3,1,39.28,-120.121,UNK,Northstar Fire Department,Northstar Fuels Reduction Burn Pile Emmissions,Hand Pile,Slash,1.625
1/29/2014,El Dorado County AQMD,El Dorado,Mountain Counties,2,2,38.942,-120.461,UNK,Sierra Pacific Industries,SO ANYWAY,Machine Pile,Slash,40
1/29/2014,El Dorado County AQMD,El Dorado,Mountain Counties,11,1,38.91,-120.445,UNK,Sierra Pacific Industries,YA KNOW BROADCAST,Broadcast,Slash,20
1/29/2014,El Dorado County AQMD,El Dorado,Mountain Counties,4,3,38.884,-120.469,UNK,Sierra Pacific Industries,YA KNOW SOUTH,Machine Pile,Slash,60
1/30/2014,Northern Sierra AQMD,Plumas,Mountain Counties,5,3,39.937,-120.879,UNK,US Forest Service,American Valley,Hand Pile,Slash,30
1/30/2014,Great Basin Unified APCD,Mono,Great Basin Valleys,5,1,37.777,-119.103,UNK,US Forest Service,DZ-07,Hand Pile,Slash,6.75
1/30/2014,El Dorado County AQMD,El Dorado,Lake Tahoe,3,1,39.054,-120.121,UNK,California State Parks,Hand Piles,Hand Pile,Slash,24
1/30/2014,Placer County APCD,Placer,Mountain Counties,20,10,39.143,-120.689,UNK,US Forest Service,Humbug Handpiles,Hand Pile,Natural,31.5
1/30/2014,El Dorado County AQMD,El Dorado,Lake Tahoe,20,5,38.792,-120.002,UNK,US Forest Service,Luther,Broadcast,Slash,200
1/30/2014,Placer County APCD,Placer,Mountain Counties,1,1,39.28,-120.121,UNK,Northstar Fire Department,Northstar Fuels Reduction Burn Pile Emmissions,Hand Pile,Slash,1.625
1/30/2014,Placer County APCD,Placer,Mountain Counties,3,3,39.28,-120.121,UNK,Northstar Fire Department,Northstar Fuels Reduction Burn Pile Emmissions,Hand Pile,Slash,4.875
1/30/2014,El Dorado County AQMD,El Dorado,Mountain Counties,15,4,38.76,-120.32,UNK,Sierra Pacific Industries,SUGARLOAF,Machine Pile,Slash,80
1/30/2014,Northern Sierra AQMD,Plumas,Mountain Counties,20,4,40.01,-121.083,UNK,US Forest Service,Twain,Hand Pile,Slash,40
1/31/2014,Great Basin Unified APCD,Mono,Great Basin Valleys,3,3,37.573,-118.679,UNK,US Forest Service,Crowley Communties Piles Unit 12,Hand Pile,Slash,UNK
1/31/2014,Great Basin Unified APCD,Mono,Great Basin Valleys,10,1,37.777,-119.103,UNK,US Forest Service,DZ-07,Hand Pile,Slash,6.75
1/31/2014,Placer County APCD,Placer,Mountain Counties,3,1,39.28,-120.121,UNK,Northstar Fire Department,Northstar Fuels Reduction Burn Pile Emmissions,Hand Pile,Slash,1.625
1/31/2014,Placer County APCD,Placer,Mountain Counties,2,2,39.28,-120.121,UNK,Northstar Fire Department,Northstar Fuels Reduction Burn Pile Emmissions,Hand Pile,Slash,3.25
2/1/2014,Great Basin Unified APCD,Mono,Great Basin Valleys,52,35,37.622,-119.802,UNK,US Forest Service,"Crystal 4A, FY14",Hand Pile,Slash,63
2/1/2014,Great Basin Unified APCD,Mono,Great Basin Valleys,10,1,37.777,-119.103,UNK,US Forest Service,DZ-07,Hand Pile,Slash,6.75
2/3/2014,Northern Sierra AQMD,Nevada,Mountain Counties,2,2,39.365,-120.211,UNK,US Forest Service,Alder Creek,Hand Pile,Slash,8
2/3/2014,El Dorado County AQMD,El Dorado,Lake Tahoe,3,1,39.054,-120.121,UNK,California State Parks,Hand Piles,Hand Pile,Slash,24
2/3/2014,El Dorado County AQMD,El Dorado,Lake Tahoe,4,4,38.864,-120.003,UNK,California State Parks,Meyers 5-4,Hand Pile,Slash,UNK
2/3/2014,Placer County APCD,Placer,Mountain Counties,2,2,39.28,-120.121,UNK,Northstar Fire Department,Northstar Fuels Reduction Burn Pile Emmissions,Hand Pile,Slash,3.25
2/3/2014,El Dorado County AQMD,El Dorado,Mountain Counties,10,1,38.777,-120.294,UNK,US Forest Service,Roadrunner,Hand Pile,Natural,5
2/3/2014,Great Basin Unified APCD,Alpine,Great Basin Valleys,10,2,38.694,-119.817,UNK,US Forest Service,SMP not found,UNK,UNK,UNK
2/4/2014,Northern Sierra AQMD,Nevada,Mountain Counties,1,1,39.365,-120.211,T17N R17E S32,US Forest Service,Alder Creek,Hand Pile,Slash,4
2/4/2014,Great Basin Unified APCD,Mono,Great Basin Valleys,5,0.5,37.777,-119.103,UNK,US Forest Service,DZ-07,Hand Pile,Slash,3.375
2/4/2014,El Dorado County AQMD,El Dorado,Lake Tahoe,4,3.5,39.054,-120.121,UNK,California State Parks,Hand Piles,Hand Pile,Slash,84
2/4/2014,Great Basin Unified APCD,Inyo,Great Basin Valleys,8,8,36.599,-118.214,UNK,US Forest Service,Hogback,Broadcast,Natural,UNK
2/4/2014,Placer County APCD,Placer,Mountain Counties,9,8,39.143,-120.689,T17N R17E S32,US Forest Service,Humbug Handpiles,Hand Pile,Natural,25.2
2/4/2014,El Dorado County AQMD,El Dorado,Lake Tahoe,3,3,38.864,-120.003,UNK,California State Parks,Meyers 5-4,Hand Pile,Slash,UNK
2/4/2014,El Dorado County AQMD,El Dorado,Lake Tahoe,10,10,38.848,-120.033,UNK,US Forest Service,North Upper Truckee,Hand Pile,Natural,UNK
2/4/2014,El Dorado County AQMD,El Dorado,Mountain Counties,13,13,38.556,-120.329,UNK,Sierra Pacific Industries,Popeye,Machine Pile,Slash,234
2/4/2014,El Dorado County AQMD,El Dorado,Mountain Counties,20,17,38.777,-120.294,UNK,US Forest Service,Roadrunner,Hand Pile,Natural,85
2/4/2014,Great Basin Unified APCD,Alpine,Great Basin Valleys,5,6,38.694,-119.817,UNK,US Forest Service,SMP not found,UNK,UNK,UNK
2/4/2014,Great Basin Unified APCD,Mono,Great Basin Valleys,50,50,38.277,-119.119,UNK,US Forest Service,South Slope Unit,Hand Pile,Slash,UNK
2/4/2014,El Dorado County AQMD,El Dorado,Mountain Counties,25,25,38.89,-120.42,"T11N R13E S1,2, 10, 11, 13, 14",Buhlert Forestry,Swift THP,UNK,UNK,UNK
2/4/2014,El Dorado County AQMD,El Dorado,Lake Tahoe,5,5,38.901,-120.036,UNK,US Forest Service,Tahoe Mtn,Hand Pile,Natural,UNK
2/5/2014,Northern Sierra AQMD,Plumas,Mountain Counties,150,46,39.966,-120.866,UNK,US Forest Service,2014-Empire,UNK,UNK,UNK
2/5/2014,Great Basin Unified APCD,Mono,Great Basin Valleys,4,4,37.573,-118.679,T17N R17E S32,US Forest Service,Crowley Communties Piles Unit 12,Hand Pile,Slash,UNK
2/5/2014,Great Basin Unified APCD,Mono,Great Basin Valleys,5,0.75,37.777,-119.103,T17N R17E S32,US Forest Service,DZ-07,Hand Pile,Slash,5.0625
2/5/2014,El Dorado County AQMD,El Dorado,Lake Tahoe,4,3,39.054,-120.121,T17N R17E S32,California State Parks,Hand Piles,Hand Pile,Slash,72
2/5/2014,El Dorado County AQMD,El Dorado,Mountain Counties,95,20,38.738,-120.387,UNK,Sierra Pacific Industries,HOOT THP NORTH,Machine Pile,Slash,400
2/5/2014,El Dorado County AQMD,El Dorado,Mountain Counties,37,14,38.725,-120.377,UNK,Sierra Pacific Industries,HOOT THP SOUTH,Machine Pile,Slash,280
2/5/2014,Feather River AQMD,Yuba,Sacramento Valley,9,9,39.447,-121.165,T17N R17E S32,US Forest Service,Meadow Enhancement Milk Ranch,Hand Pile,Brush,162
2/5/2014,El Dorado County AQMD,El Dorado,Lake Tahoe,2,2,38.855,-120.006,T17N R17E S32,California State Parks,Meyers 5-1,Hand Pile,Slash,UNK
2/5/2014,Placer County APCD,Placer,Mountain Counties,2,2,39.28,-120.121,"T11N R13E S1,2, 10, 11, 13, 14",Northstar Fire Department,Northstar Fuels Reduction Burn Pile Emmissions,Hand Pile,Slash,3.25
2/5/2014,El Dorado County AQMD,El Dorado,Mountain Counties,10,10,38.777,-120.294,T17N R17E S32,US Forest Service,Roadrunner,Hand Pile,Natural,50
2/5/2014,El Dorado County AQMD,El Dorado,Mountain Counties,20,20,38.777,-120.294,T17N R17E S32,US Forest Service,Roadrunner,Hand Pile,Natural,100
2/5/2014,Placer County APCD,Placer,Mountain Counties,18,14,39.085,-120.737,T17N R17E S32,US Forest Service,Seed Orchard Machine Piles,Machine Pile,Slash,29.4
2/5/2014,El Dorado County AQMD,El Dorado,Mountain Counties,46,46,38.942,-120.461,UNK,Sierra Pacific Industries,SO ANYWAY,Machine Pile,Slash,920
2/5/2014,Great Basin Unified APCD,Mono,Great Basin Valleys,50,50,38.277,-119.119,UNK,Bureau of Land Management,South Slope Unit,Hand Pile,Slash,UNK
2/5/2014,El Dorado County AQMD,El Dorado,Mountain Counties,59,47,38.76,-120.32,UNK,Sierra Pacific Industries,SUGARLOAF,Machine Pile,Slash,940
2/5/2014,El Dorado County AQMD,El Dorado,Mountain Counties,25,25,38.89,-120.42,"T11N R13E S1,2, 10, 11, 13, 14",Buhlert Forestry,Swift THP,UNK,UNK,UNK
2/5/2014,El Dorado County AQMD,El Dorado,Mountain Counties,125,125,38.89,-120.42,T8N R15E S26,Buhlert Forestry,Swift THP,Hand Pile,UNK,1250
2/5/2014,Shasta County AQMD,Shasta,Sacramento Valley,33,33,40.55,-122.51,UNK,Bureau of Land Management,Unit H,Broadcast,Natural,132
2/5/2014,Northern Sierra AQMD,Nevada,Mountain Counties,5,5,39.32,-120.846,UNK,US Forest Service,White Clound,Hand Pile,Natural,10.5
2/6/2014,Great Basin Unified APCD,Mono,Great Basin Valleys,20,20,38.283,-119.122,T8N R15E S26,Bureau of Land Management,AC North Unit,Hand Pile,Slash,UNK
2/6/2014,Northern Sierra AQMD,Plumas,Mountain Counties,10,4,39.937,-120.879,T8N R15E S26,US Forest Service,American Valley,Hand Pile,Slash,40
2/6/2014,El Dorado County AQMD,El Dorado,Mountain Counties,34,34,38.972,-120.811,T8N R15E S26,Sierra Pacific Industries,AND UM,Machine Pile,Slash,680
2/6/2014,Placer County APCD,Placer,Mountain Counties,40,39,39.058,-120.89,T8N R15E S26,Jensen Forest Management,Decampos,Machine Pile,Slash,531.96
2/6/2014,Placer County APCD,Placer,Mountain Counties,10,10,39.066,-120.75,T8N R15E S26,US Forest Service,Divide Handpiles,Hand Pile,Brush,12
2/6/2014,Great Basin Unified APCD,Mono,Great Basin Valleys,5,2,37.777,-119.103,UNK,US Forest Service,DZ-07,Hand Pile,Slash,13.5
2/6/2014,El Dorado County AQMD,El Dorado,Mountain Counties,5,5,38.74,-120.451,T8N R15E S26,Sierra Pacific Industries,EMPIRICAL EAST,Machine Pile,Slash,125
2/6/2014,El Dorado County AQMD,El Dorado,Mountain Counties,62,62,38.713,-120.243,T8N R15E S26,Sierra Pacific Industries,GIRARD / FUNKY,Machine Pile,Slash,1240
2/6/2014,El Dorado County AQMD,El Dorado,Lake Tahoe,4,1.5,39.054,-120.121,T8N R15E S26,California State Parks,Hand Piles,Hand Pile,Slash,36
2/6/2014,El Dorado County AQMD,El Dorado,Mountain Counties,4,2,38.743,-120.529,T8N R15E S26,Sierra Pacific Industries,HAZELNUT,Machine Pile,Slash,50
2/6/2014,Placer County APCD,Placer,Mountain Counties,1,1,39.143,-120.689,T8N R15E S26,US Forest Service,Humbug Handpiles,Hand Pile,Natural,3.15
2/6/2014,El Dorado County AQMD,El Dorado,Mountain Counties,2,2,38.737,-120.664,T17N R17E S32,US Forest Service,IFG - Plantations & Admin,Hand Pile,Natural,14
2/6/2014,Placer County APCD,Placer,Mountain Counties,4,4,39.104,-120.543,T8N R15E S26,US Forest Service,Last Chance Landing piles,Machine Pile,Slash,120
2/6/2014,El Dorado County AQMD,El Dorado,Lake Tahoe,20,1,38.792,-120.002,T8N R15E S26,US Forest Service,Luther,Broadcast,Slash,40
2/6/2014,El Dorado County AQMD,El Dorado,Lake Tahoe,4,4,38.864,-120.003,T8N R15E S26,California State Parks,Meyers 5-4,Hand Pile,Slash,UNK
2/6/2014,Northern Sierra AQMD,Plumas,Mountain Counties,2,2,39.966,-120.934,T8N R15E S26,US Forest Service,Mt. Hough Admin,Hand Pile,Mixed Conifer,UNK
2/6/2014,Placer County APCD,Placer,Mountain Counties,3,3,39.28,-120.121,T17N R17E S32,Northstar Fire Department,Northstar Fuels Reduction Burn Pile Emmissions,Hand Pile,Slash,4.875
2/6/2014,Placer County APCD,Placer,Mountain Counties,10,10,39.101,-120.728,T8N R15E S26,US Forest Service,Old Sugar Pine Road Grapple,Machine Pile,Slash,17.7
2/6/2014,Tehama County APCD,Tehama,Sacramento Valley,10,20,40.416,-121.81,UNK,Pacific Gas and Electric,Ponderosa Burn - Bluff Spring Pile Unit,Machine Pile,Brush,40
2/6/2014,El Dorado County AQMD,El Dorado,Mountain Counties,15,15,38.777,-120.294,T8N R15E S26,US Forest Service,Roadrunner,Hand Pile,Natural,75
2/6/2014,Northern Sierra AQMD,Sierra,Mountain Counties,12,12,39.551,-120.882,T8N R15E S26,US Forest Service,Ruby Helicopter Unit 16,Machine Pile,Slash,60.24
2/6/2014,Placer County APCD,Placer,Mountain Counties,16,15,39.263,-120.674,T8N R15E S26,US Forest Service,Sailor Machine Piles,Machine Pile,Slash,60.3
2/6/2014,El Dorado County AQMD,El Dorado,Mountain Counties,4,4,38.891,-120.684,T8N R15E S26,Sierra Pacific Industries,SAILOR NORTH,Machine Pile,Slash,100
2/6/2014,El Dorado County AQMD,El Dorado,Mountain Counties,29,29,38.848,-120.684,T8N R15E S26,Sierra Pacific Industries,SAILOR SOUTH,Machine Pile,Slash,580
2/6/2014,El Dorado County AQMD,El Dorado,Mountain Counties,46,32,38.848,-120.684,T8N R15E S26,Sierra Pacific Industries,SAILOR SOUTH,Machine Pile,Slash,640
2/6/2014,Placer County APCD,Placer,Mountain Counties,4,1,39.085,-120.737,T8N R15E S26,US Forest Service,Seed Orchard Machine Piles,Machine Pile,Slash,2.1
