Registration #,,,Legal / LatLong,,,BT,OT,,Owner,,,,,,,,,Sale Name,Acres,Tons,,,M10,M1000,,,Rain,Burn Date,Time
Mt. Hood NF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120650009001,,,5S-5E-13 / 45.1359 -122.1430,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,ROTOR-UNIT-26       ,44,44,,,0,0,,,0,9/28/2013,11:00
120650009003,,,6S-6E-7 / 45.0612 -122.1230,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,ROTOR-UNIT-109      ,19,19,,,0,0,,,0,9/28/2013,10:00
120650009007,,,6S-6E-24 / 45.0329 -122.0210,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,ROTOR-UNIT-191      ,18,18,,,0,0,,,0,9/28/2013,11:00
120650009002,,,5S-6E-19 / 45.1218 -122.1220,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,ROTOR-UNIT-96       ,18,18,,,0,0,,,0,11/6/2013,11:00
120650009102,,,5S-7E-19 / 45.1220 -121.9990,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,SWAG-07             ,36,36,,,0,0,,,0,11/14/2013,11:00
120650009103,,,5S-7E-19 / 45.1220 -121.9990,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,SWAG-08             ,6,6,,,0,0,,,0,11/14/2013,11:00
120650009104,,,5S-7E-20 / 45.1223 -121.9790,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,SWAG-09             ,7,7,,,0,0,,,0,11/14/2013,11:00
120650009108,,,6S-7E-1 / 45.0776 -121.9000,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,SWAG-20             ,22,22,,,0,0,,,0,11/7/2013,11:00
120650010401,,,6S-6E-26 / 45.0183 -122.0420,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,DAY-THIN-UNIT-32    ,50,50,,,0,0,,,0,11/5/2013,11:00
120650010402,,,6S-5E-27 / 45.0178 -122.1840,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,DAY-THIN-UNIT-36    ,18,18,,,0,0,,,0,11/5/2013,11:00
120650010403,,,7S-6E-2 / 44.9896 -122.0420,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,DAY-THIN-UNIT-39    ,17,17,,,0,0,,,0,11/5/2013,11:00
120650010404,,,7S-6E-1 / 44.9897 -122.0220,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,DAY-THIN-UNIT-46    ,28,28,,,0,0,,,0,11/5/2013,12:00
120654735501,,,4S-6E-29 / 45.1937 -122.0980,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,BOYA-UNIT-5         ,29,29,,,0,0,,,0,10/29/2013,12:00
120654735502,,,4S-6E-20 / 45.2083 -122.0980,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,BOYA-UNIT-6         ,9,9,,,0,0,,,0,10/29/2013,12:00
130656800101,,,6S-7E-6 / 45.0773 -122.0010,,,N,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,PARDNER-II-UNIT-1   ,1,22,,,13,14,,,14,6/16/2015,11:00
130656800102,,,6S-7E-6 / 45.0773 -122.0010,,,U,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,PARDNER-II-UNIT-2   ,1,22,,,13,14,,,14,6/16/2015,11:00
130656800103,,,6S-7E-6 / 45.0773 -122.0010,,,U,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,PARDNER-II-UNIT-3   ,1,19,,,13,14,,,14,6/16/2015,12:00
130656800104,,,6S-7E-5 / 45.0774 -121.9820,,,U,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,PARDNER-II-UNIT-4   ,1,22,,,13,14,,,14,6/16/2015,12:00
130654711601,,,5S-4E-11 / 45.1506 -122.2840,,,L,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,SPOON-12            ,5,20,,,0,0,,,1,11/12/2013,11:00
130654711602,,,5S-4E-23 / 45.1214 -122.2840,,,L,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,SPOON-08            ,2,12,,,0,0,,,1,11/12/2013,11:00
144060650001,,,6S-6E-25 / 45.0184 -122.0220,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,ROMAN-UNIT-3        ,29,29,,,0,0,,,0,12/12/2014,13:00
144060650002,,,6S-6E-36 / 45.0041 -122.0220,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,ROMAN-UNIT-4        ,20,20,,,0,0,,,0,12/12/2014,12:00
144060650003,,,6S-7E-31 / 45.0041 -122.0020,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,ROMAN-UNIT-5        ,24,24,,,0,0,,,0,12/12/2014,12:00
144060650004,,,6S-6E-26 / 45.0183 -122.0420,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,ROMAN-UNIT-33       ,17,17,,,0,0,,,0,2/12/2015,11:00
144060650005,,,6S-6E-25 / 45.0184 -122.0220,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,ROMAN-UNIT-34       ,12,12,,,0,0,,,0,2/12/2015,11:00
144060650006,,,6S-6E-26 / 45.0183 -122.0420,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,ROMAN-UNIT-35       ,25,25,,,0,0,,,0,2/12/2015,12:00
144060650007,,,6S-6E-36 / 45.0041 -122.0220,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,ROMAN-UNIT-40       ,13,13,,,0,0,,,0,12/12/2014,11:00
144060650008,,,6S-6E-36 / 45.0041 -122.0220,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,ROMAN-UNIT-41       ,12,12,,,0,0,,,0,12/9/2014,11:00
144060650009,,,6S-6E-36 / 45.0041 -122.0220,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,ROMAN-UNIT-43       ,54,54,,,0,0,,,0,12/9/2014,12:00
144060650010,,,6S-7E-32 / 45.0041 -121.9820,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,ROMAN-UNIT-45       ,28,28,,,0,0,,,0,12/9/2014,11:00
144060650011,,,7S-6E-12 / 44.9754 -122.0220,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,WALL-UNIT-14        ,31,64,,,0,0,,,0,11/24/2014,12:00
144060650012,,,7S-7E-24 / 44.9465 -121.8980,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,WALL-UNIT-15        ,26,64,,,0,0,,,0,11/15/2016,11:00
144060650013,,,8S-7E-11 / 44.8951 -121.9180,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,WALL-UNIT-19        ,26,26,,,0,0,,,0,11/15/2016,11:00
144060650014,,,7S-7E-35 / 44.9176 -121.9180,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,WALL-UNIT-20        ,23,23,,,0,0,,,0,11/15/2016,10:00
144060650015,,,7S-6E-4 / 44.9896 -122.0830,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,PINK-212            ,13,13,,,0,0,,,0,11/13/2015,10:00
144060650016,,,6S-6E-33 / 45.0038 -122.0830,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,PINK-222            ,14,14,,,0,0,,,0,11/13/2015,10:00
144060650017,,,7S-6E-6 / 44.9894 -122.1230,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,PINK-228            ,8,11,,,0,0,,,0,11/16/2015,10:00
144060650018,,,7S-6E-6 / 44.9894 -122.1230,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,PINK230             ,15,22,,,0,0,,,0,11/16/2015,10:00
144060650019,,,7S-50E-1 / 43.0001 -123.0001,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,PINK-236            ,10,31,,,0,0,,,0,11/16/2015,10:00
144060650020,,,6S-6E-29 / 45.0178 -122.1030,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,PINK-242            ,15,15,,,0,0,,,0,11/16/2015,10:00
144060650021,,,6S-6E-29 / 45.0178 -122.1030,,,G,U,,MT HOOD NF - CLACKAMAS RD,,,,,,,,,PINK-244            ,24,24,,,0,0,,,0,11/13/2015,11:00
