Burn Date,Air District,County,Air Basin,Acres Requested,Acres Burned,Latitude,Longitude,Legal Location,Agency,Burn Unit,Burn Type,Fuel Type,Total Tons
1/1/2021,Amador County APCD,Amador,Mountain Counties,5,1,38.504,-120.777,"T7N & 8N R11E 4,5,8, 32, 33",Cal Fire,Amoruso VMP Piles,Machine Pile,Brush,2.5
1/1/2021,El Dorado County AQMD,El Dorado,Mountain Counties,17,0,38.518,-120.52,"T8N R13E 23,24,26",Sierra Pacific Industries,Oregon Scott,Machine Pile,Slash,0
1/1/2021,El Dorado County AQMD,El Dorado,Mountain Counties,19,0,38.524,-120.613,"T8N R12E 10,15,19,24,25",Sierra Pacific Industries,Wetsel,Machine Pile,Slash,0
1/1/2021,El Dorado County AQMD,El Dorado,Mountain Counties,4,0,38.532,-120.439,"T8N R14E 14,20,21,22",Sierra Pacific Industries,Omo Gosh,Machine Pile,Slash,0
1/1/2021,Butte County AQMD,Butte,Sacramento Valley,0.25,0.25,39.742,-121.739,T22 R2E 35,CSU Chico Research Foundation,BCCER Prop Management,Hand Pile,Natural,0.425
1/1/2021,El Dorado County AQMD,El Dorado,Mountain Counties,6,0,38.927,-120.418,T12N; 13N R14E; 14E 08; 33,Sierra Pacific Industries,Ya Know,Machine Pile,Slash,0
1/1/2021,El Dorado County AQMD,El Dorado,Mountain Counties,8,6,38.897,-120.611,"T12N; 13N R12E; 12E 10, 11, 14, 15; 33",Sierra Pacific Industries,Airperson,Machine Pile,Slash,150
1/1/2021,El Dorado County AQMD,El Dorado,Mountain Counties,30,10,38.879,-120.494,"T12N; 12N; 13N R13E; 14E; 14E 01, 12, 13, 14, 15, 23, 24, 25; 06; 29, 30, 31",Sierra Pacific Industries,King Fireline East,Machine Pile,Slash,150
1/1/2021,El Dorado County AQMD,El Dorado,Mountain Counties,1,1,38.922,-120.459,T12N R13E 1,Sierra Pacific Industries,So Anyway,Machine Pile,Slash,20
1/1/2021,El Dorado County AQMD,El Dorado,Mountain Counties,39.6,20,38.856,-120.467,T12N R13E 25,Sierra Pacific Industries,Grouchy Grouse,Machine Pile,Slash,300
1/1/2021,El Dorado County AQMD,El Dorado,Mountain Counties,2,2,38.952,-120.468,T13N R13E 25,Sierra Pacific Industries,Bobs Road,Machine Pile,Slash,30
1/1/2021,Amador County APCD,Amador,Mountain Counties,5,0,38.386,-120.649,"T6n R12E 3, 9, 10, 11, 13, 14, 15, 22, 23, 26, 27, 28 & 34",Cal Fire,Pine Acres piles,Hand Pile,Slash,0
1/2/2021,Calaveras County APCD,Calaveras,Mountain Counties,4,4,38.446,-120.378,T7N R14E 14,Sierra Pacific Industries,Bruce #20822017,Machine Pile,Slash,60
1/2/2021,El Dorado County AQMD,El Dorado,Mountain Counties,10,5,38.879,-120.494,"T12N; 12N; 13N R13E; 14E; 14E 01, 12, 13, 14, 15, 23, 24, 25; 06; 29, 30, 31",Sierra Pacific Industries,King Fireline East,Machine Pile,Slash,75
1/2/2021,Amador County APCD,Amador,Mountain Counties,5,0,38.504,-120.777,"T7N & 8N R11E 4,5,8, 32, 33",Cal Fire,Amoruso VMP Piles,Machine Pile,Brush,0
1/2/2021,El Dorado County AQMD,El Dorado,Mountain Counties,5,5,38.898,-120.516,"T12N R13E 03, 09, 10",Sierra Pacific Industries,Whatever,Machine Pile,Slash,75
1/2/2021,El Dorado County AQMD,El Dorado,Mountain Counties,8.2,8.2,38.927,-120.418,T12N; 13N R14E; 14E 08; 33,Sierra Pacific Industries,Ya Know,Machine Pile,Slash,164
1/2/2021,Mendocino County AQMD,Mendocino,North Coast,1,1,39.137,-123.225,T R,Individual,Dave SMP 18-16 Piles,Hand Pile,Natural,1
1/3/2021,Amador County APCD,Amador,Mountain Counties,5,0,38.504,-120.777,"T7N & 8N R11E 4,5,8, 32, 33",Cal Fire,Amoruso VMP Piles,Machine Pile,Brush,0
1/3/2021,El Dorado County AQMD,El Dorado,Mountain Counties,4,4,38.719,-120.424,"T10N R14E 15, 16, 17, 22",Sierra Pacific Industries,Uber Southface,Machine Pile,Slash,100
1/3/2021,El Dorado County AQMD,El Dorado,Mountain Counties,4,4,38.532,-120.439,"T8N R14E 14,20,21,22",Sierra Pacific Industries,Omo Gosh,Machine Pile,Slash,100
1/3/2021,El Dorado County AQMD,El Dorado,Mountain Counties,21,21,38.759,-120.47,T11N; 11N R13E; 14E 36; 31,Sierra Pacific Industries,Winter Ditch,Machine Pile,Slash,525
1/3/2021,El Dorado County AQMD,El Dorado,Mountain Counties,17,17,38.518,-120.52,"T8N R13E 23,24,26",Sierra Pacific Industries,Oregon Scott,Machine Pile,Slash,306
1/3/2021,El Dorado County AQMD,El Dorado,Mountain Counties,15,5,38.524,-120.613,"T8N R12E 10,15,19,24,25",Sierra Pacific Industries,Wetsel,Machine Pile,Slash,75
1/3/2021,El Dorado County AQMD,El Dorado,Mountain Counties,3,2,38.703,-120.404,"T10N; 10N; 10N R13E; 14E; 15E 25; 20, 22, 23, 27; 19; 29",Sierra Pacific Industries,Superfun,Machine Pile,Slash,50
1/6/2021,Siskiyou County APCD,Siskiyou,Northeast Plateau,25,10,41.818,-123.184,46N 12W 24,US Forest Service,101-611.1,Hand Pile,Natural,60
1/4/2021,El Dorado County AQMD,El Dorado,Mountain Counties,1,1,38.703,-120.404,"T10N; 10N; 10N R13E; 14E; 15E 25; 20, 22, 23, 27; 19; 29",Sierra Pacific Industries,Superfun,Machine Pile,Slash,25
1/4/2021,Siskiyou County APCD,Siskiyou,Northeast Plateau,37,37,41.798,-122.95,46 10 25,Michigan-California Timber Company,South Klamath Thin 25,Hand Pile,Slash,13.69
1/4/2021,Siskiyou County APCD,Siskiyou,Northeast Plateau,40,40,41.721,-122.944,41 4 29,Michigan-California Timber Company,Black Butte,Hand Pile,Slash,14.8
1/4/2021,Siskiyou County APCD,Siskiyou,Northeast Plateau,55,55,41.676,-122.74,44 North 8 West 11,Michigan-California Timber Company,Schoolhouse 11,Hand Pile,Slash,29.15
1/4/2021,Siskiyou County APCD,Siskiyou,Northeast Plateau,69,69,41.663,-122.758,44 North 8 West 15,Michigan-California Timber Company,Schoolhouse 15,Hand Pile,Slash,44.16
1/4/2021,Siskiyou County APCD,Siskiyou,Northeast Plateau,UNK,0,41.893,-122.824,UNK,US Forest Service,121-137,Unknown,Natural,0
1/4/2021,Siskiyou County APCD,Siskiyou,Northeast Plateau,185,185,41.721,-122.944,46 10 25,Michigan-California Timber Company,Singleton 25,Hand Pile,Slash,41.07
1/4/2021,El Dorado County AQMD,El Dorado,Mountain Counties,0.5,1,38.724,-120.567,T10N R13E 8,El Dorado Irrigation District,SPRA,Broadcast,Slash,1
1/4/2021,San Diego County APCD,San Diego,San Diego,10,10,32.88,-116.422,T15S R5E 12,US Forest Service,Unit 65,Hand Pile,Natural,142
1/4/2021,Siskiyou County APCD,Siskiyou,Northeast Plateau,3,3,41.741,-122.97,45 10 23,Michigan-California Timber Company,Singleton 23,Hand Pile,Slash,1.287
1/4/2021,Siskiyou County APCD,Siskiyou,Northeast Plateau,19,19,41.782,-122.942,46 9 31,Michigan-California Timber Company,Kinsman 31,Hand Pile,Slash,14.06
1/4/2021,Siskiyou County APCD,Siskiyou,Northeast Plateau,38,38,41.786,-122.97,46 10 35,Michigan-California Timber Company,Kinsman 35,Hand Pile,Slash,14.06
1/4/2021,Shasta County AQMD,Shasta,Sacramento Valley,13,13,41.16,-122.44,T38N R5W 09,LandVest,Grey Rocks,Machine Pile,Slash,96.2
1/4/2021,Siskiyou County APCD,Siskiyou,Northeast Plateau,37,37,41.803,-122.994,46 10 27,Michigan-California Timber Company,Kinsman 27,Hand Pile,Slash,21.904
1/4/2021,El Dorado County AQMD,El Dorado,Mountain Counties,5,5,38.897,-120.611,"T12N; 13N R12E; 12E 10, 11, 14, 15; 33",Sierra Pacific Industries,Airperson,Machine Pile,Slash,125
1/4/2021,Siskiyou County APCD,Siskiyou,Northeast Plateau,40,13,41.928,-122.829,47N 8W 18,US Forest Service,122-17,Hand Pile,Natural,31.2
1/4/2021,Siskiyou County APCD,Siskiyou,Northeast Plateau,75,75,41.647,-122.776,44 North 8 West 21,Michigan-California Timber Company,Schoolhouse 21,Hand Pile,Slash,51.75
1/5/2021,El Dorado County AQMD,El Dorado,Mountain Counties,1,1,38.724,-120.567,T10N R13E 8,El Dorado Irrigation District,SPRA,Broadcast,Slash,1
1/5/2021,Lassen County APCD,Lassen,Northeast Plateau,40,5,40.418,-120.775,T30N R10E 25,Sierra Pacific Industries,Hog Fire Landing Piles,Machine Pile,Slash,250
1/5/2021,Mendocino County AQMD,Mendocino,North Coast,3,3,39.137,-123.225,T R,Individual,Dave SMP 18-16 Piles,Hand Pile,Natural,3
1/5/2021,Siskiyou County APCD,Siskiyou,Northeast Plateau,10,0,41.729,-122.724,  ,US Forest Service,GHR 7,Hand Pile,Natural,0
1/5/2021,Siskiyou County APCD,Siskiyou,Northeast Plateau,119,119,41.788,-123.011,46 10 33,Michigan-California Timber Company,Kinsman 33,Hand Pile,Slash,51.051
1/5/2021,Butte County AQMD,Butte,Sacramento Valley,0.25,0.25,39.846,-121.702,T23 North R2 East 24,CSU Chico Research Foundation,Big Chico Creek Ecological Reserve,Unknown,Natural,0.375
1/5/2021,Siskiyou County APCD,Siskiyou,Northeast Plateau,24,24,41.743,-122.987,45 10 15,Michigan-California Timber Company,Bar Salvage,Hand Pile,Slash,7.104
1/5/2021,El Dorado County AQMD,El Dorado,Mountain Counties,0.2,0.1,38.956,-120.931,T13N R9E 25,California State Parks,Wendell Robie Trail,Hand Pile,Brush,1.494
1/5/2021,Siskiyou County APCD,Siskiyou,Northeast Plateau,10,10,41.814,-122.944,46 9 19,Michigan-California Timber Company,Kinsman 19,Hand Pile,Slash,7.4
1/5/2021,Lake County AQMD,Lake,Lake County,1,0,38.823,-122.69,"T11N R08W 1,2,3,11,",Cal Fire,PP Ridgetop Unit,Hand Pile,Slash,0
1/5/2021,Lake County AQMD,Lake,Lake County,1,0,38.823,-122.69,"T11N R08W 1,2,3,11,",Cal Fire,PP Ridgetop Unit,Hand Pile,Slash,0
