Burn Date,Air District,County,Air Basin,Acres Requested,Acres Burned,Latitude,Longitude,Legal Location,Agency,Burn Unit,Burn Type,Fuel Type,Total Tons
2/17/2016,El Dorado County AQMD,El Dorado,Lake Tahoe,20,20,38.941,-120.08,TT2S RR26E S21,US Forest Service,Panther 46,Hand Pile,Slash,800
2/17/2016,Northern Sierra AQMD,Plumas,Mountain Counties,20,20,40.027,-121.069,T17N R17E Sections 29 31 32 MDB&M,US Forest Service,Twain Broom Piles,Hand Pile,Slash,200
2/17/2016,El Dorado County AQMD,El Dorado,Lake Tahoe,25,25,38.892,-120.039,T17N R17E Sections 29 31 32 MDB&M,California State Parks,Mule Deer,Hand Pile,Brush,30
2/17/2016,El Dorado County AQMD,El Dorado,Lake Tahoe,25,25,38.892,-120.039,T17N R17E Sections 29 31 32 MDB&M,California State Parks,Mule Deer,Hand Pile,Brush,30
2/17/2016,Great Basin Unified APCD,Mono,Great Basin Valleys,108,39,37.727,-118.994,T17N R17E Sections 29 31 32 MDB&M,US Forest Service,7A,Hand Pile,Slash,122.85
2/17/2016,El Dorado County AQMD,El Dorado,Mountain Counties,148,75,38.903,-120.588,T17N R17E Sections 29 31 32 MDB&M,US Forest Service,Stumpy Meadows Pile Unit,Machine Pile,Natural,1125
2/18/2016,Placer County APCD,Placer,Mountain Counties,1,0.25,39.281,-120.12,T17N R17E Sections 29 31 32 MDB&M,Northstar Fire Department,2016 Northstar Fire Pile Burning Project,Hand Pile,UNK,0.25
2/18/2016,Placer County APCD,Placer,Mountain Counties,40,4,39.167,-120.588,T17N R17E Sections 29 31 32 MDB&M,US Forest Service,Secret House,Machine Pile,Slash,30
2/18/2016,Siskiyou County APCD,Siskiyou,Northeast Plateau,5,5,41.669,-122.847,TT2S RR26E S21,Bureau of Land Management,Indian Creek Road,Hand Pile,Natural,27
2/18/2016,Placer County APCD,Placer,Mountain Counties,15,7,39.007,-120.892,T17N R17E Sections 29 31 32 MDB&M,Foresters Co-Op,Owl Creek CC,Machine Pile,Slash,84
2/19/2016,Santa Barbara County APCD,Santa Barbara,South Coast,2,2,34.754,-119.955,T 3N R 24E Sec. 5,US Forest Service,Sawmill Basin,Hand Pile,Slash,20
2/19/2016,Siskiyou County APCD,Siskiyou,Northeast Plateau,5,4,41.669,-122.847,TT2S RR26E S21,Bureau of Land Management,Indian Creek Road,Hand Pile,Natural,21.6
2/19/2016,Great Basin Unified APCD,Mono,Great Basin Valleys,11,11,37.777,-119.103,T17N R17E Sections 29 31 32 MDB&M,US Forest Service,DZ-07,Hand Pile,Slash,74.25
2/22/2016,Butte County AQMD,Butte,Sacramento Valley,3,1,39.52,-121.45,T17N R17E Sections 29 31 32 MDB&M,Cal Fire,Loafer Creek 08,Hand Pile,Brush,4
2/22/2016,Siskiyou County APCD,Siskiyou,Northeast Plateau,1,1,41.596,-122.945,T17N R17E Sections 29 31 32 MDB&M,Bureau of Land Management,Quartz Hill,Hand Pile,Natural,1.02
2/22/2016,Siskiyou County APCD,Siskiyou,Northeast Plateau,4,4,41.669,-122.847,T17N R17E Sections 29 31 32 MDB&M,Bureau of Land Management,Indian Creek Road,Hand Pile,Natural,21.6
2/23/2016,Colusa County APCD,Colusa,Sacramento Valley,0.5,0.5,39.318,-122.645,T17N R17E Sections 29 31 32 MDB&M,US Forest Service,2015 Trough Unit 1,Hand Pile,Natural,2.625
2/23/2016,Butte County AQMD,Butte,Sacramento Valley,3,1,39.52,-121.45,T17N R17E Sections 29 31 32 MDB&M,Cal Fire,Loafer Creek 08,Hand Pile,Brush,4
2/23/2016,Placer County APCD,Placer,Lake Tahoe,1,1,39.19,-120.131,T17N R17E Sections 29 31 32 MDB&M,California State Parks,BCSP Hand Piles,Hand Pile,Slash,20
2/23/2016,Siskiyou County APCD,Siskiyou,Northeast Plateau,3,3,41.669,-122.847,T17N R17E Sections 29 31 32 MDB&M,Bureau of Land Management,Indian Creek Road,Hand Pile,Natural,16.2
2/23/2016,El Dorado County AQMD,El Dorado,Lake Tahoe,5,3,38.951,-120.109,T17N R17E Sections 29 31 32 MDB&M,California State Parks,Emerald Bay / So. Bliss burn piles,Hand Pile,Slash,UNK
2/24/2016,El Dorado County AQMD,El Dorado,Mountain Counties,5,1,38.61,-120.504,T17N R17E Sections 29 31 32 MDB&M,Leoni Meadows Camp,Forest Management Pile Burning,Hand Pile,Slash,3
2/24/2016,Placer County APCD,Placer,Lake Tahoe,1,1,39.19,-120.131,T17N R17E Sections 29 31 32 MDB&M,California State Parks,BCSP Hand Piles,Hand Pile,Slash,20
2/24/2016,Colusa County APCD,Colusa,Sacramento Valley,48.5,1.5,39.318,-122.645,T17N R17E Sections 29 31 32 MDB&M,US Forest Service,2015 Trough Unit 1,Hand Pile,Natural,7.875
2/24/2016,El Dorado County AQMD,El Dorado,Lake Tahoe,2,2,38.898,-120.013,T17N R17E Sections 29 31 32 MDB&M,US Forest Service,Twin Peaks 203,Hand Pile,Slash,40
2/24/2016,Placer County APCD,Placer,Mountain Counties,2,2,39.067,-120.735,"T25N R8E S23,24,20",US Forest Service,Seed Orchard Slash Piles,Hand Pile,Natural,7.5
2/24/2016,Great Basin Unified APCD,Mono,Great Basin Valleys,UNK,2,38.146,-119.366,T 3N R 24E Sec. 5,US Forest Service,Twin Lakes Pile Burn,Hand Pile,UNK,7.5
2/24/2016,Siskiyou County APCD,Siskiyou,Northeast Plateau,3,3,41.669,-122.847,T17N R17E Sections 29 31 32 MDB&M,Bureau of Land Management,Indian Creek Road,Hand Pile,Natural,16.2
2/24/2016,El Dorado County AQMD,El Dorado,Lake Tahoe,5,3,38.951,-120.109,T17N R17E Sections 29 31 32 MDB&M,California State Parks,Emerald Bay / So. Bliss burn piles,Hand Pile,Slash,UNK
2/24/2016,Feather River AQMD,Yuba,Sacramento Valley,7,7,39.395,-121.163,T 3N R 24E Sec. 5,National Park Service,Pendola Unit 142,Hand Pile,Slash,246.75
2/24/2016,Butte County AQMD,Butte,Sacramento Valley,9,9,39.641,-121.979,T17N R17E Sections 29 31 32 MDB&M,US Fish and Wildlife Services,DEADMANS REACH PILES RX,Machine Pile,Slash,11.7
