Permit Issue Date,Burn Name,Full Permit Number,AgencyGroup,AdministrativeUnit,PileBcast,AcresAnnMaxProject,PilesAnnMaxProject,Lat,Long,Actual Acres Burned,Act Pile Vol Consumed (FT3),Actual Piles,PileActVolume,PilePctCons
12/28/2021,Brockover Devil Creek Rx - RENEWAL,SJF-22-064,USFS,San Juan National Forest,Broadcast,8446,0,37.31,107.15,,0,,,
12/29/2021,Archuleta Creek - RENEWAL,SJF-22-071,USFS,San Juan National Forest,Broadcast,2257,0,37.17,107.26,,0,,,
3/24/2022,Echo Canyon,SJF-22-074,USFS,San Juan National Forest,Broadcast,1150,0,37.25,106.9,,0,,,
1/25/2022,"Boggy Draw/Haycamp Mesa - RENEWAL 17, 18, 20",SJF-22-122,USFS,San Juan National Forest,Broadcast,23025,0,37.56,108.37,,0,,,
3/30/2022,Vallecito-Piedra RX,SJF-22-198,USFS,San Juan National Forest,Broadcast,10000,0,37.31,107.46,,0,,,
3/22/2022,Salter - RENEWAL,SJF-22-205,USFS,San Juan National Forest,Broadcast,5502,0,37.66,108.58,,0,,,
8/10/2022,Lower Turkey Piles,SJF-22-235,USFS,San Juan National Forest,Pile,0,200,37.17,107.1,,5737.5,75,85,90
8/10/2022,Echo Canyon Piles,SJF-22-236,USFS,San Juan National Forest,Pile,0,500,37.25,106.89,,22050,500,49,90
10/20/2022,Cow Canyon/Five Pines,SJF-22-279,USFS,San Juan National Forest,Pile,0,1000,37.74,108.69,,0,,,
10/20/2022,Chicken Creek - RENEWAL,SJF-22-280,USFS,San Juan National Forest,Pile,0,4360,37.44,108.3,,563550,750,884,85
10/20/2022,Hayrock Ponderosa - RENEWAL,SJF-22-281,USFS,San Juan National Forest,Pile,0,1000,37.51,108.34,,495040,700,884,80
10/25/2022,Junction Creek,SJF-22-283,USFS,San Juan National Forest,Pile,0,120,37.35,107.9,,5304,20,884,30
11/23/2022,Saul's Creek,SJF-22-284,USFS,San Juan National Forest,Pile,0,200,37.27,107.52,,123120,600,216,95
10/26/2022,Priest Gulch,SJF-22-287,USFS,San Juan National Forest,Pile,0,300,37.66,108.21,,0,1885,73,
10/27/2022,Red Creek,SJF-22-290,USFS,San Juan National Forest,Pile,0,30,37.37,107.46,,0,,,
11/1/2022,Huerto Creek Piles,SJF-22-294,USFS,San Juan National Forest,Pile,0,50,37.2,107.25,,0,,,
2/22/2022,Snowmass Ski Area,SKI-22-163,Non-Profits and Misc. Fed,Ski Resort,Pile,0,320,39.2,106.96,,13754.9,8,1728,100
4/13/2022,Tucker Mountain - RENEWAL,SKI-22-227,Non-Profits and Misc. Fed,Ski Resort,Pile,0,500,39.49,106.16,,10233.6,13,788,100
7/26/2022,Wolf Creek Ski Area,SKI-22-234,Non-Profits and Misc. Fed,Ski Resort,Pile,0,1,37.47,106.79,,4269.3,3,1498,95
9/16/2022,Aspen Highlands Ski Area,SKI-22-247,Non-Profits and Misc. Fed,Ski Resort,Pile,0,180,39.14,106.87,,20536,136,151,100
10/20/2022,Buttermilk Ski Area,Ski-22-273,Non-Profits and Misc. Fed,Ski Resort,Pile,0,47,39.19,106.87,,12728,43,320,93
10/20/2022,Winter Park - RENEWAL,SKI-22-274,Non-Profits and Misc. Fed,Ski Resort,Pile,0,15,39.87,105.75,,28800,8,4000,90
12/6/2021,Green Ridge Piles,SLB-22-003,State,State Land Board,Pile,0,25,40.18,106.88,,0,,,
1/19/2022,Groundhog Piles - RENEWAL,SLB-22-120,State,State Land Board,Pile,0,150,37.77,108.25,,79206.4,112,884,80
12/13/2021,Blanca Wetlands - RENEWAL,SLD-22-024,BLM,San Luis Valley Field Office,Broadcast,300,0,37.56,105.7,83,0,,,
9/28/2022,Biedell,SLD-22-252,BLM,San Luis Valley Field Office,Pile,0,5000,37.96,106.32,,0,,,
2/3/2022,Trinidad Lake State Park,SPW-22-147,CDPW,Colorado State Parks,Pile,0,5,37.15,104.57,,3582.5,3,1257,95
4/8/2022,Lathrop State Park,SPW-22-224,CDPW,Colorado State Parks,Pile,0,5,37.6,104.83,,0,,,
2/2/2022,State Forest Piles,SSS-22-144,CSFS,Steamboat Springs Dist. Colo State Forest Svc,Pile,0,36,40.5,105.97,,327045.6,54,6729,90
12/1/2022,West Rim Piles 2022,SWD-22-057,BLM,Southwest District Office,Pile,0,2000,37.94,108.91,,1058012.2,4450,274,87
1/3/2022,Gunnison Gorge - RENEWAL,SWD-22-079,BLM,Southwest District Office,Pile,0,50,38.7,107.9,,1051.9,17,63,99
1/5/2022,Summit Lake - RENEWAL,SWD-22-088,BLM,Southwest District Office,Pile,0,150,37.41,108.39,,84000,150,700,80
1/6/2022,CANM Piles - RENEWAL,SWD-22-096,BLM,Southwest District Office,Pile,0,400,37.33,109.02,,0,,,
1/27/2022,Dry Creek (TFO Piles) - RENEWAL,SWD-22-138,BLM,Southwest District Office,Pile,0,400,38.06,108.55,,3325,35,100,95
3/16/2022,West Rim - RENEWAL,SWD-22-197,BLM,Southwest District Office,Broadcast,2400,0,37.87,108.79,183,0,,,
3/30/2022,Animas City Mountain - RENEWAL,SWD-22-214,BLM,Southwest District Office,Broadcast,717,0,37.33,107.87,,0,,,
4/6/2022,Dry Mesa Rx - RENEWAL,SWD-22-221,BLM,Southwest District Office,Broadcast,554,0,38.6,108.3,10,0,,,
4/12/2022,SWD Simms Mesa Rx,SWD-22-226,BLM,Southwest District Office,Broadcast,200,0,38.3,107.9,,0,,,
1/18/2022,Ute Creek Watershed RENEWAL,TRT-22-115,Private Land,Trinchera Ranch,Pile,0,50,37.6,105.41,,1329022.6,164,8751,93
1/20/2022,West Indian Creek - RENEWAL,TRT-22-123,Private Land,Trinchera Ranch,Pile,0,30,37.41,105.23,,0,,,
1/20/2022,Deep Creek - RENEWAL,TRT-22-126,Private Land,Trinchera Ranch,Pile,0,106,37.27,105.23,,758626.2,33,26183,88
8/30/2022,Bear Creek Lake Park - FI210 - Wildland Fire Investigator Training,WEX-22-243,Local Gov't Agency,West Metro Fire Department,Broadcast,350,0,39.66,105.15,29,0,,,
7/21/2022,Willow Creek Piles,WRD-22-233,BLM,White River Field Office,Pile,0,9000,39.8,108.24,,0,,,
12/10/2021,Keystone Gulch TSI - RENEWAL,WRF-22-021,USFS,White River National Forest,Pile,0,15000,39.57,105.95,,250250,1300,220,88
12/10/2021,Breckenridge FHF - RENEWAL,WRF-22-022,USFS,White River National Forest,Pile,0,4000,39.52,106.05,,25920,180,160,90
12/13/2021,Vail Intermountain - RENEWAL,WRF-22-029,USFS,White River National Forest,Pile,0,100,39.63,106.41,,15687,83,216,88
12/14/2021,Ophir Mountain-Miner's Creek RENEWAL 2022,WRF-22-037,USFS,White River National Forest,Pile,0,2000,39.56,106.1,,212712.5,1105,220,88
1/6/2022,Chapman Pile 2021 - RENEWAL,WRF-22-098,USFS,White River National Forest,Pile,0,1,39.31,106.64,,0,,,
1/6/2022,Maroon Bells Piles 2021 - RENEWAL,WRF-22-099,USFS,White River National Forest,Pile,0,3,39.1,106.95,,8550,3,3000,95
1/6/2022,Reservoir Park Piles 2021 - RENEWAL,WRF-22-100,USFS,White River National Forest,Pile,0,5,39.32,107.5,,0,,,
1/13/2022,Braderich Creek - RENEWAL,WRF-22-111,USFS,White River National Forest,Broadcast,2065,0,39.2,107.3,,0,,,
1/13/2022,Aldrich Lakes - RENEWAL,WRF-22-112,USFS,White River National Forest,Broadcast,2500,0,40.14,107.61,,0,,,
1/13/2022,Cattle Creek - RENEWAL,WRF-22-114,USFS,White River National Forest,Broadcast,2500,0,39.5,107.03,600,0,,,
1/18/2022,Collins Creek - RENEWAL,WRF-22-117,USFS,White River National Forest,Broadcast,4000,0,39.28,106.82,,0,,,
1/25/2022,Cherry Creek - RENEWAL,WRF-22-131,USFS,White River National Forest,Broadcast,1100,0,39.68,107.63,1100,0,,,
1/25/2022,7 Castles,WRF-22-132,USFS,White River National Forest,Broadcast,1400,0,39.39,106.92,352,0,,,
1/25/2022,Muddy Pass - All Units - RENEWAL,WRF-22-134,USFS,White River National Forest,Broadcast,5000,0,39.7,106.52,,0,,,
5/12/2022,Hunter Creek,WRF-22-194,USFS,White River National Forest,Broadcast,1110,0,39.21,106.79,900,0,,,
11/8/2022,Moniger Park Salvage - RENEWAL,WRF-22-299,USFS,White River National Forest,Pile,0,475,39.72,106.48,,0,,,
11/9/2022,Wellington 330/329,WRF-22-304,USFS,White River National Forest,Pile,0,1800,39.49,106.02,,274576.2,1414,223,87
11/17/2022,Seven Hermits,WRF-22-314,USFS,White River National Forest,Pile,0,40,39.55,106.83,,0,,,
11/17/2022,Third Gulch,WRF-22-315,USFS,White River National Forest,Pile,0,40,39.54,106.82,,0,,,
11/29/2022,Piney Salvage,WRF-22-318,USFS,White River National Forest,Pile,0,70,39.69,106.44,,0,,,
