Burn Date,Air District,County,Air Basin,Acres Requested,Acres Burned,Latitude,Longitude,Legal Location,Agency,Burn Unit,Burn Type,Fuel Type,Total Tons
1/2/2017,Lake County AQMD,Lake,Lake County,10,10,38.823,-122.69,"T06N, 07N R14E S07N- 33, 34, 35. 06N- 1, 2, 3, 4, 9, 10",Cal Fire,PP Ridgetop Unit,Machine Pile,Slash,166
1/3/2017,Placer County APCD,Placer,Lake Tahoe,2.5,2.5,39.176,-120.145,T19 R10 S27,California State Parks,Fairway/Bunker,Hand Pile,Slash,1.125
1/3/2017,Lake County AQMD,Lake,Lake County,10,10,38.823,-122.69,"T06N, 07N R14E S07N- 33, 34, 35. 06N- 1, 2, 3, 4, 9, 10",Cal Fire,PP Ridgetop Unit,Machine Pile,Slash,166
1/3/2017,Placer County APCD,Placer,Mountain Counties,25,10,39.04,-120.445,T3S R27E S13,Private Landowner,FIA Forest hill,Machine Pile,UNK,21
1/3/2017,Great Basin Unified APCD,Mono,Great Basin Valleys,51,51,37.683,-118.942,"T06N, 07N R14E S07N- 33, 34, 35. 06N- 1, 2, 3, 4, 9, 10",US Forest Service,28A,Machine Pile,Slash,107.1
1/4/2017,Northern Sierra AQMD,Sierra,Mountain Counties,1,1,39.485,-120.845,T3S R27E S13,US Forest Service,Plum 52,Machine Pile,Slash,37.7
1/4/2017,Great Basin Unified APCD,Mono,Great Basin Valleys,5,5,37.777,-119.103,T19 R10 S27,US Forest Service,A-01,Hand Pile,Slash,33.75
1/4/2017,Lake County AQMD,Lake,Lake County,10,10,38.823,-122.69,"T06N, 07N R14E S07N- 33, 34, 35. 06N- 1, 2, 3, 4, 9, 10",Cal Fire,PP Ridgetop Unit,Machine Pile,Slash,166
1/4/2017,Great Basin Unified APCD,Mono,Great Basin Valleys,59,59,37.635,-118.927,T19 R10 S27,US Forest Service,5,Hand Pile,Slash,185.85
1/5/2017,Butte County AQMD,Butte,Sacramento Valley,0.1,0.1,39.846,-121.702,T19 R10 S27,CSU Chico Research Foundation,Big Chico Creek Ecological Reserve,Broadcast,Natural,0.32
1/5/2017,San Joaquin Valley APCD,Madera,San Joaquin Valley,5.25,9.5,37.265,-119.494,"T11N R08W S1,2,3,11,",US Forest Service,Willow Fire,Machine Pile,Slash,750.5
1/5/2017,Lake County AQMD,Lake,Lake County,10,10,38.823,-122.69,"T06N, 07N R14E S07N- 33, 34, 35. 06N- 1, 2, 3, 4, 9, 10",Cal Fire,PP Ridgetop Unit,Machine Pile,Slash,166
1/6/2017,Butte County AQMD,Butte,Sacramento Valley,0.1,0.1,39.846,-121.702,T19 R10 S27,CSU Chico Research Foundation,Big Chico Creek Ecological Reserve,Broadcast,Natural,0.32
1/6/2017,Lake County AQMD,Lake,Lake County,10,10,38.823,-122.69,"T06N, 07N R14E S07N- 33, 34, 35. 06N- 1, 2, 3, 4, 9, 10",Cal Fire,PP Ridgetop Unit,Machine Pile,Slash,166
