Burn Date,Air District,County,Air Basin,Acres Requested,Acres Burned,Latitude,Longitude,Legal Location,Agency,Burn Unit,Burn Type,Fuel Type,Total Tons
1/14/2012,Shasta County AQMD,Shasta,Sacramento Valley,60,60,40.9,-121.88,UNK,Individual,SMP not found,UNK,UNK,UNK
1/14/2012,Shasta County AQMD,Shasta,Sacramento Valley,60,60,40.9,-121.88,UNK,Individual,SMP not found,UNK,UNK,UNK
1/14/2012,Shasta County AQMD,Shasta,Sacramento Valley,60,60,40.989,-122.506,UNK,Individual,SMP not found,UNK,UNK,UNK
1/14/2012,Shasta County AQMD,Shasta,Sacramento Valley,61,61,40.695,-121.9,UNK,Individual,SMP not found,UNK,UNK,UNK
1/17/2012,Great Basin Unified APCD,Mono,Great Basin Valleys,UNK,121,37.78,-118.983,"T5N R18E S30,31",US Forest Service,9A,Broadcast,Natural,UNK
1/18/2012,Butte County AQMD,Butte,Sacramento Valley,UNK,21,39.571,-121.272,UNK,US Forest Service,Ponderos Service Contract Unit 77a,Hand Pile,Brush,UNK
1/18/2012,Placer County APCD,Placer,Mountain Counties,100,100,39.101,-120.574,UNK,US Forest Service,SMP not found,UNK,UNK,UNK
1/19/2012,Butte County AQMD,Butte,Sacramento Valley,UNK,0.5,39.91,-121.609,UNK,Sierra Pacific Industries,Forks,Broadcast,Natural,UNK
1/19/2012,Butte County AQMD,Butte,Sacramento Valley,UNK,40,39.571,-121.272,UNK,US Forest Service,Ponderos Service Contract Unit 77a,Hand Pile,Brush,UNK
1/19/2012,Butte County AQMD,Butte,Sacramento Valley,UNK,57,39.885,-121.61,UNK,Sierra Pacific Industries,Butte,Machine Pile,Slash,UNK
1/20/2012,Placer County APCD,Placer,Mountain Counties,44,20,39.179,-120.658,UNK,US Forest Service,SMP not found,UNK,UNK,UNK
1/23/2012,Great Basin Unified APCD,Inyo,Great Basin Valleys,UNK,4,36.587,-118.246,UNK,US Forest Service,South Inyo Piles,UNK,UNK,UNK
1/23/2012,Placer County APCD,Placer,Mountain Counties,12,12,39.179,-120.658,UNK,US Forest Service,SMP not found,UNK,UNK,UNK
1/24/2012,Placer County APCD,Placer,Lake Tahoe,5,2,39.144,-120.163,UNK,California State Parks,Talmont II/Tahoe Park Heights,Hand Pile,Slash,UNK
1/24/2012,Placer County APCD,Placer,Mountain Counties,10,2,39.043,-120.562,UNK,US Forest Service,SMP not found,UNK,UNK,UNK
1/25/2012,Placer County APCD,Placer,Lake Tahoe,5,2,39.144,-120.163,UNK,California State Parks,Talmont II/Tahoe Park Heights,Hand Pile,Slash,UNK
1/26/2012,Great Basin Unified APCD,Inyo,Great Basin Valleys,UNK,5,0,0,T 15 S. R 34 E. SEC. 35 AND 36,US Forest Service,Whitney Portal Project Piles,Hand Pile,UNK,UNK
1/26/2012,Placer County APCD,Placer,Lake Tahoe,5,2,39.144,-120.163,UNK,California State Parks,Talmont II/Tahoe Park Heights,Hand Pile,Slash,UNK
1/27/2012,Great Basin Unified APCD,Alpine,Great Basin Valleys,UNK,6,38.727,-119.788,UNK,Bureau of Land Management,SMP not found,UNK,UNK,UNK
