Burn Date,Air District,County,Air Basin,Acres Requested,Acres Burned,Latitude,Longitude,Legal Location,Agency,Burn Unit,Burn Type,Fuel Type,Total Tons
1/2/2018,El Dorado County AQMD,El Dorado,Mountain Counties,11,10,38.893,-120.602,"T11N R08W S1,2,3,11,",Sierra Pacific Industries,King Corral Emergency Notice Area,Machine Pile,Slash,150
1/2/2018,El Dorado County AQMD,El Dorado,Mountain Counties,12,12,38.91,-120.511,"T11N R08W S1,2,3,11,",Sierra Pacific Industries,Asphalt Oasis Emergency Notice Area,Machine Pile,Slash,180
1/2/2018,El Dorado County AQMD,El Dorado,Mountain Counties,15,15,38.919,-120.499,"T11N R08W S1,2,3,11,",Sierra Pacific Industries,Major Tom Emergency Notice Area,Machine Pile,Slash,225
1/3/2018,Lake County AQMD,Lake,Lake County,1,1,38.823,-122.69,"T11N R08W S1,2,3,11,",Cal Fire,PP Ridgetop Unit,Machine Pile,Slash,16.6
1/3/2018,El Dorado County AQMD,El Dorado,Mountain Counties,5,5,38.864,-120.51,UNK,Sierra Pacific Industries,Sunsad Emergency Notice Area,Machine Pile,Slash,75
1/3/2018,El Dorado County AQMD,El Dorado,Mountain Counties,35,35,38.91,-120.511,UNK,Sierra Pacific Industries,Asphalt Oasis Emergency Notice Area,Machine Pile,Slash,525
1/3/2018,El Dorado County AQMD,El Dorado,Mountain Counties,40,40,38.928,-120.484,UNK,Sierra Pacific Industries,Bobs Road Emergency Notice Area,Hand Pile,Slash,600
1/3/2018,El Dorado County AQMD,El Dorado,Mountain Counties,140,140,38.884,-120.516,UNK,Sierra Pacific Industries,Sonion Emergency Notice Area,Machine Pile,Slash,2100
1/4/2018,Placer County APCD,Placer,Sacramento Valley,1,0.5,38.921,-121.003,UNK,California State Parks,Mammoth Bar,Hand Pile,Brush,10.375
1/4/2018,Placer County APCD,Placer,Sacramento Valley,0.5,0.5,38.904,-121.056,UNK,California State Parks,Office,Hand Pile,Slash,1.86
1/4/2018,Butte County AQMD,Butte,Sacramento Valley,5,1,39.88,-121.652,"T12N R13E S19, 30",Bureau of Land Management,Schott Rd,Hand Pile,Natural,0.045
1/4/2018,Lake County AQMD,Lake,Lake County,1,1,38.823,-122.69,UNK,Cal Fire,PP Ridgetop Unit,Machine Pile,Slash,16.6
1/4/2018,Feather River AQMD,Yuba,Sacramento Valley,3,3,39.365,-121.283,"T12N R13E S19, 30",Siller Brothers Inc,Petkin burn,Machine Pile,Brush,28.2
1/4/2018,Butte County AQMD,Butte,Sacramento Valley,5,5,39.882,-121.649,UNK,Bureau of Land Management,Upper Doe Mill,Hand Pile,Natural,0.375
1/4/2018,El Dorado County AQMD,El Dorado,Mountain Counties,UNK,5,38.888,-120.925,"T12N R13E S19, 30",Individual,2018 Brush Clearing,Machine Pile,UNK,75
1/4/2018,El Dorado County AQMD,El Dorado,Mountain Counties,10,10,38.579,-120.794,UNK,EldoradoCounty Resource Conservation District,SandFireWatershedRehabilitation and Reforestration Project,Machine Pile,Slash,80
1/5/2018,Placer County APCD,Placer,Sacramento Valley,0.5,0.1,38.921,-121.003,"T12N,R14E,sec16",California State Parks,Mammoth Bar,Hand Pile,Brush,2.075
1/5/2018,Lake County AQMD,Lake,Lake County,1,1,38.823,-122.69,"T12N,R14E,sec16",Cal Fire,PP Ridgetop Unit,Machine Pile,Slash,16.6
1/5/2018,Feather River AQMD,Yuba,Sacramento Valley,2,2,39.447,-121.195,"T12N,R14E,sec16",Siller Brothers Inc,FountianHouse East,Machine Pile,Slash,UNK
1/5/2018,Butte County AQMD,Butte,Sacramento Valley,4,4,39.903,-121.627,"T12N,R14E,sec16",Bureau of Land Management,Lower Doe Mill,Hand Pile,Natural,0.22
1/5/2018,Butte County AQMD,Butte,Sacramento Valley,4,4,39.882,-121.649,"T12N,R14E,sec16",Bureau of Land Management,Upper Doe Mill,Hand Pile,Natural,0.3
1/5/2018,El Dorado County AQMD,El Dorado,Mountain Counties,10,10,38.579,-120.794,"T12N,R14E,sec16",EldoradoCounty Resource Conservation District,SandFireWatershedRehabilitation and Reforestration Project,Machine Pile,Slash,80
1/7/2018,Butte County AQMD,Butte,Sacramento Valley,5,2,39.903,-121.627,"T12N,R14E,sec16",Bureau of Land Management,Lower Doe Mill,Hand Pile,Natural,0.11
1/7/2018,Calaveras County APCD,Calaveras,Mountain Counties,27,27,38.437,-120.474,"T12N,R14E,sec16",Sierra Pacific Industries,Lily Fuelbreak,Machine Pile,Slash,113.4
1/7/2018,Calaveras County APCD,Calaveras,Mountain Counties,30,30,38.393,-120.432,"T12N,R14E,sec16",Sierra Pacific Industries,Lower Bailey Tractor,Machine Pile,Slash,126
1/8/2018,Placer County APCD,Placer,Sacramento Valley,2,0.5,38.892,-121.049,NAT9N R14E S30,California State Parks,"RPFBT , Robie Point",Hand Pile,Brush,1.17
1/8/2018,Calaveras County APCD,Calaveras,Mountain Counties,1,1,38.412,-120.418,NAT9N R14E S30,Sierra Pacific Industries,Veal THP,Machine Pile,Slash,29
1/8/2018,El Dorado County AQMD,El Dorado,Mountain Counties,1,1,38.578,-120.565,NAT9N R14E S30,Sierra Pacific Industries,Omo Fuelbreak Landing Piles,Machine Pile,Slash,7.4
1/8/2018,El Dorado County AQMD,El Dorado,Lake Tahoe,1,1,39.054,-120.121,"T12N,R14E,sec16",California State Parks,Hand Piles,Hand Pile,Slash,24
1/8/2018,Calaveras County APCD,Calaveras,Mountain Counties,2,2,38.378,-120.333,UNK,Sierra Pacific Industries,Blue Mountain Road,Machine Pile,Slash,58
1/8/2018,El Dorado County AQMD,El Dorado,Lake Tahoe,3,3,38.878,-119.997,NAT9N R14E S30,California State Parks,Sunset Interface,Hand Pile,Slash,13.5
1/8/2018,Calaveras County APCD,Calaveras,Mountain Counties,5,5,38.393,-120.433,NAT9N R14E S30,Sierra Pacific Industries,Lower Bailey,Machine Pile,Slash,145
1/8/2018,El Dorado County AQMD,El Dorado,Mountain Counties,10,10,38.579,-120.794,NAT9N R14E S30,EldoradoCounty Resource Conservation District,SandFireWatershedRehabilitation and Reforestration Project,Machine Pile,Slash,80
1/8/2018,Lake County AQMD,Lake,Lake County,10,10,38.823,-122.69,UNK,Cal Fire,PP Ridgetop Unit,Machine Pile,Slash,166
1/8/2018,Great Basin Unified APCD,Mono,Great Basin Valleys,28.5,20,37.62,-118.951,"T14N, R10E, sec 25",US Forest Service,FY18 Pit T5N,Hand Pile,Slash,63
1/8/2018,El Dorado County AQMD,El Dorado,Mountain Counties,UNK,30,38.6,-120.48,NAT9N R14E S30,Individual,Plummer Ridge THP,Hand Pile,UNK,94.5
1/8/2018,Calaveras County APCD,Calaveras,Mountain Counties,52,52,38.393,-120.432,NAT9N R14E S30,Sierra Pacific Industries,Lower Bailey Tractor,Machine Pile,Slash,218.4
1/8/2018,El Dorado County AQMD,El Dorado,Mountain Counties,75,62,38.816,-120.49,NAT9N R14E S30,US Forest Service,Quidazoic Blue Units,Machine Pile,Natural,781.2
1/8/2018,Calaveras County APCD,Calaveras,Mountain Counties,67,67,38.413,-120.415,NAT9N R14E S30,Sierra Pacific Industries,Veal THP,Machine Pile,Slash,281.4
1/8/2018,Great Basin Unified APCD,Mono,Great Basin Valleys,100,100,37.629,-118.929,NAT9N R14E S30,US Forest Service,Pit 6,Hand Pile,Slash,315
1/9/2018,Placer County APCD,Placer,Sacramento Valley,1,0.2,38.892,-121.049,NAT9N R14E S30,California State Parks,"RPFBT , Robie Point",Hand Pile,Brush,0.468
1/9/2018,Northern Sierra AQMD,Plumas,Mountain Counties,0.5,0.5,39.91,-121.19,UNK,US Forest Service,Hutchins CG,Hand Pile,Slash,5
1/9/2018,El Dorado County AQMD,El Dorado,Mountain Counties,1,1,38.879,-121.035,NAT9N R14E S30,California State Parks,Olmstead Loop,Hand Pile,Brush,2.99
1/9/2018,Northern Sierra AQMD,Plumas,Mountain Counties,1,1,39.88,-121.2,UNK,US Forest Service,Bucks Lake Quarry,Machine Pile,Slash,4
1/9/2018,El Dorado County AQMD,El Dorado,Lake Tahoe,2,2,38.878,-119.997,NAT9N R14E S30,California State Parks,Sunset Interface,Hand Pile,Slash,9
1/9/2018,Northern Sierra AQMD,Plumas,Mountain Counties,2,2,40.19,-120.61,UNK,US Forest Service,Boulder Creek CG and WC,Hand Pile,Slash,20
1/9/2018,Northern Sierra AQMD,Plumas,Mountain Counties,3,3,39.86,-121.16,UNK,US Forest Service,Bucks Lake Unit 112/ 112D,Hand Pile,Slash,30
1/9/2018,El Dorado County AQMD,El Dorado,Mountain Counties,75,7,38.816,-120.49,UNK,US Forest Service,Quidazoic Blue Units,Machine Pile,Natural,88.2
1/9/2018,Great Basin Unified APCD,Mono,Great Basin Valleys,15,8,38.153,-119.344,NAT9N R14E S30,US Forest Service,TL 18,Hand Pile,Slash,453.6
1/9/2018,El Dorado County AQMD,El Dorado,Mountain Counties,10,10,38.579,-120.794,UNK,EldoradoCounty Resource Conservation District,SandFireWatershedRehabilitation and Reforestration Project,Machine Pile,Slash,80
1/9/2018,Great Basin Unified APCD,Mono,Great Basin Valleys,10,10,37.654,-118.993,UNK,US Forest Service,FY18 T1S,Hand Pile,Slash,21
1/9/2018,Lake County AQMD,Lake,Lake County,10,10,38.823,-122.69,NAT9N R14E S30,Cal Fire,PP Ridgetop Unit,Machine Pile,Slash,166
1/9/2018,El Dorado County AQMD,El Dorado,Mountain Counties,15,13,38.702,-120.496,NAT9N R14E S30,US Forest Service,Marshall Mine,Hand Pile,Natural,234
1/9/2018,Shasta County AQMD,Shasta,Northeast Plateau,15,17,40.665,-121.35,NAT9N R14E S30,US Forest Service,Summit Lake Hand Piles,Hand Pile,Slash,340
1/9/2018,Great Basin Unified APCD,Mono,Great Basin Valleys,111,20,37.654,-118.993,NAT9N R14E S30,US Forest Service,FY18 T1S,Hand Pile,Slash,42
1/9/2018,Northern Sierra AQMD,Plumas,Mountain Counties,20,20,40.25,-120.59,UNK,US Forest Service,Boulder Unit 5,Hand Pile,Slash,200
1/9/2018,Shasta County AQMD,Shasta,Sacramento Valley,150,100,40.717,-121.706,UNK,Sierra Pacific Industries,Burney Gardens/Dry Whit,Machine Pile,Slash,40
1/10/2018,El Dorado County AQMD,El Dorado,Lake Tahoe,20,0.5,38.838,-120.017,UNK,US Forest Service,SS 36,Hand Pile,Slash,1.88
1/10/2018,El Dorado County AQMD,El Dorado,Lake Tahoe,3,2,38.878,-119.997,UNK,California State Parks,Sunset Interface,Hand Pile,Slash,9
1/10/2018,El Dorado County AQMD,El Dorado,Mountain Counties,10,5,38.702,-120.496,UNK,US Forest Service,Marshall Mine,Hand Pile,Natural,90
1/10/2018,Tehama County APCD,Tehama,Sacramento Valley,9,9,39.86,-122.82,UNK,US Forest Service,Log Springs 51,Hand Pile,Natural,47.25
1/10/2018,El Dorado County AQMD,El Dorado,Mountain Counties,10,10,38.579,-120.794,UNK,EldoradoCounty Resource Conservation District,SandFireWatershedRehabilitation and Reforestration Project,Machine Pile,Slash,80
1/10/2018,Tehama County APCD,Tehama,Sacramento Valley,12,12,39.861,-122.824,UNK,US Forest Service,Log Springs 43,Hand Pile,Natural,63
1/10/2018,Shasta County AQMD,Shasta,Northeast Plateau,15,23,40.665,-121.35,UNK,US Forest Service,Summit Lake Hand Piles,Hand Pile,Slash,460
1/10/2018,Tehama County APCD,Tehama,Sacramento Valley,26,26,39.858,-122.819,UNK,US Forest Service,Haypatch 98,Hand Pile,Natural,136.5
1/10/2018,Northern Sierra AQMD,Plumas,Mountain Counties,20,40,40.13,-121.01,UNK,US Forest Service,Keddie Unit 64 (Rock Cress),Hand Pile,Slash,400
1/11/2018,Placer County APCD,Placer,Sacramento Valley,1,0.3,38.92,-121.004,UNK,California State Parks,Mammoth Bar,Hand Pile,Brush,1.89
1/11/2018,El Dorado County AQMD,El Dorado,Lake Tahoe,2,0.5,38.854,-120.038,T17N R17E Sections 29 31 32 MDB&M,US Forest Service,Twin Peaks 185,Hand Pile,Slash,2.5
1/11/2018,Northern Sierra AQMD,Plumas,Mountain Counties,1,1,39.98,-120.94,UNK,US Forest Service,Mt. Hough DO,Hand Pile,Slash,10
1/11/2018,Placer County APCD,Placer,Mountain Counties,2.5,1,39.197,-120.814,"N 1/2 Section 2, T15N, R10E",Cal Fire,Alta Shaded Fuel Break 2018,Hand Pile,UNK,5
1/11/2018,El Dorado County AQMD,El Dorado,Mountain Counties,10,10,38.579,-120.794,"N 1/2 Section 2, T15N, R10E",EldoradoCounty Resource Conservation District,SandFireWatershedRehabilitation and Reforestration Project,Machine Pile,Slash,80
1/11/2018,Tehama County APCD,Tehama,Sacramento Valley,15,15,39.857,-122.838,UNK,US Forest Service,Log Springs 66,Hand Pile,Natural,78.75
1/11/2018,Tehama County APCD,Tehama,Sacramento Valley,17,17,39.86,-122.84,UNK,US Forest Service,Haypatch 94,Hand Pile,Natural,89.25
1/11/2018,Tehama County APCD,Tehama,Sacramento Valley,58,58,39.859,-122.818,UNK,US Forest Service,Haypatch 87,Hand Pile,Natural,304.5
1/11/2018,Northern Sierra AQMD,Plumas,Mountain Counties,130,130,39.888,-120.723,"N 1/2 Section 2, T15N, R10E",US Forest Service,"Rattlesnake Grapple Piles Units 19,13,15,15B,09D,06",Machine Pile,Natural,650
1/12/2018,El Dorado County AQMD,El Dorado,Mountain Counties,0.1,0.1,38.815,-120.941,T12N R9E S5,Individual,Clearing Brush,Hand Pile,UNK,2.075
1/12/2018,Shasta County AQMD,Shasta,Sacramento Valley,5,5,41.006,-121.949,"N 1/2 Section 2, T15N, R10E",Sierra Pacific Industries,Meridian,Machine Pile,Slash,10.5
1/12/2018,Shasta County AQMD,Shasta,Sacramento Valley,6,6,41.061,-121.949,"N 1/2 Section 2, T15N, R10E",Sierra Pacific Industries,JB Kosk,Machine Pile,Slash,12.6
