Managed Area Name,Burn Unit Name,Latitude,Longitude,Start Date,End Date,Type of Burn,Total Acres of Burn,TNC Acres Burned,Other Landowner,Rural or Urban,Burn Lead,StateName,BurnComplexity
Konza Prairie,WA,39.071,-96.5742,1/30/2015,1/30/2015,Broadcast,28.72,28.72,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Konza Prairie,WB,39.0706,-96.5653,1/30/2015,1/30/2015,Broadcast,30.46,30.46,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Angola Creek Flatwoods,"1, 2 & 6",34.710039,-77.704975,2/1/2015,2/1/2015,Broadcast,60,60,,Rural,"[""TNC""]",North Carolina,Medium
Sandy Island,Unit 9,33.538482,-79.145908,2/4/2015,2/4/2015,Broadcast,179,179,,Rural,"[""TNC""]",South Carolina,Medium
Bibb County Glades Preserve,5-Jul,33.0249,-87.0154,2/5/2015,2/5/2015,Broadcast,65,65,,Rural,"[""TNC""]",Alabama,Low
"Pine Knot, CFL ACUB",Beasley,32.46043139,-84.6543527,2/6/2015,2/6/2015,Broadcast,1,1,,Rural,"[""TNC""]",Georgia,Medium
"Pine Knot, CFL WMA",Wolf Waller,32.48463476,-84.5942283,2/6/2015,2/6/2015,Broadcast,21,21,,Rural,"[""TNC""]",Georgia,Medium
Bibb County Glades Preserve,2-Jul,33.0236,-87.023,2/6/2015,2/6/2015,Broadcast,160,160,,Rural,"[""TNC""]",Alabama,Low
Sage's Ridge,1,34.481147,-77.593227,2/7/2015,2/7/2015,Broadcast,40,40,,Rural,"[""TNC""]",North Carolina,Medium
Prairie Ridge Preserve,South,34.0964,-93.1645,2/7/2015,2/7/2015,Broadcast,205,205,,Rural,"[""TNC""]",Arkansas,Medium
Sandy Island,Unit 10,33.529421,-79.125674,2/7/2015,2/7/2015,Broadcast,257,257,,Urban,"[""TNC""]",South Carolina,Medium
McLean Savanna,Metcalfe,34.454641,-77.759147,2/9/2015,2/9/2015,Broadcast,90,90,,Rural,"[""TNC""]",North Carolina,Medium
McLean Savanna,Johnson,34.451144,-77.765227,2/9/2015,2/9/2015,Broadcast,110,110,,Rural,"[""TNC""]",North Carolina,Medium
"Juniper, CFL ACUB",Little Saunders triangle,32.50839732,-84.6244407,2/10/2015,2/10/2015,Broadcast,65,65,,Rural,"[""TNC""]",Georgia,Medium
Betty and Crawford Rainwater Perdido River Preserve,"2-1,2-2,3-1,3-2 Portion 4-2",30.3023,-87.26,2/10/2015,2/10/2015,Broadcast,381,381,,Rural,"[""TNC""]",Florida,Low
Wah' Kon-Tah Prairie,WK-6W,37.9027,-94.0026,2/11/2015,2/11/2015,Broadcast,27,27,,Rural,"[""Government Agency""]",Missouri,Low
Presson - Oglesby,Foot Unit,35.3439,-94.0132,2/11/2015,2/11/2015,Broadcast,40,40,,Rural,"[""TNC""]",Arkansas,Medium
Nickel Preserve,Sandpiper Field,36.02876,-94.85651,2/13/2015,2/13/2015,Broadcast,43,43,,Rural,"[""Contractor""]",Oklahoma,Low
Nickel Preserve,Tully West Unit,36.01747,-94.85857,2/13/2015,2/13/2015,Broadcast,476,476,,Rural,"[""Contractor""]",Oklahoma,Low
Sassafras,1,34.950076,-79.534649,2/16/2015,2/16/2015,Broadcast,53,53,"[""State/Local Government""]",Rural,"[""TNC""]",North Carolina,Low
Lake Ramsay Complex,"WMA-3, LR-9, 10",30.52431638,-90.16360773,2/19/2015,2/19/2015,Broadcast,155,38,,Urban,"[""TNC""]",Louisiana,Low
Lower Cedar,Maytag 1,41.37,-91.32,2/19/2015,2/19/2015,Non-broadcast,,,,Rural,"[""TNC""]",Iowa,Low
Green Swamp,Moon Island,34.133644,-78.252865,2/20/2015,2/20/2015,Broadcast,15,15,,Rural,"[""TNC""]",North Carolina,Low
Moody Forest Natural Area,9 northwest,31.90695498,-82.30988744,2/20/2015,2/20/2015,Broadcast,38,38,,Rural,"[""TNC""]",Georgia,Medium
"Pine Knot, CFL ACUB",Wolf Waller,32.48376594,-84.59654573,2/20/2015,2/20/2015,Broadcast,109,109,,Rural,"[""TNC""]",Georgia,Medium
Splinter Hill Bog Preserve,"8A, 8B",30.5957,-87.4221,2/20/2015,2/20/2015,Broadcast,131,131,,Rural,"[""TNC""]",Alabama,Low
Moss Foundation,3,35.181881,-79.333802,2/20/2015,2/20/2015,Non-broadcast,,,,Rural,"[""TNC""]",North Carolina,Low
Sassafras,2,34.947183,-79.534515,2/21/2015,2/21/2015,Broadcast,32,32,"[""State/Local Government""]",Rural,"[""TNC""]",North Carolina,Low
Sassafras,3,34.944769,-79.534595,2/21/2015,2/21/2015,Broadcast,32,32,"[""State/Local Government""]",Rural,"[""TNC""]",North Carolina,Low
Sage's Ridge,1,34.481147,-77.593227,2/21/2015,2/21/2015,Broadcast,50,50,,Rural,"[""TNC""]",North Carolina,Medium
Calloway Forest,32,35.029691,-79.261696,2/21/2015,2/21/2015,Broadcast,165,165,,Rural,"[""TNC""]",North Carolina,Low
Disney Wilderness Preserve,North Pastures,28.132879,-81.446295,2/24/2015,2/24/2015,Broadcast,5,5,,Rural,"[""TNC""]",Florida,Low
Tiger Creek Preserve,"QR-3, 4",27.859782,-81.504713,2/25/2015,2/25/2015,Broadcast,53,53,,Rural,"[""TNC""]",Florida,Low
Disney Wilderness Preserve,North Pastures,28.132879,-81.446295,2/26/2015,2/26/2015,Broadcast,100,100,,Rural,"[""TNC""]",Florida,Low
Columbus Prairie,Pile Burn 1,33.7857,-93.8153,2/27/2015,2/27/2015,Non-broadcast,,,,Rural,"[""TNC""]",Arkansas,Low
Green Swamp,Western & Caison,34.091404,-78.303029,2/28/2015,2/28/2015,Broadcast,95,95,,Rural,"[""TNC""]",North Carolina,Medium
"Juniper, CFL ACUB",Buck,32.51532764,-84.62216619,2/28/2015,2/28/2015,Broadcast,500,500,,Rural,"[""TNC""]",Georgia,Medium
Columbus Prairie,Pile Burn 2,33.7857,-93.8153,3/2/2015,3/2/2015,Non-broadcast,,,,Rural,"[""TNC""]",Arkansas,Low
Saddle Blanket Scrub Preserve,SB-6,27.658486,-81.578331,3/3/2015,3/3/2015,Broadcast,20,20,,Rural,"[""TNC""]",Florida,Low
Hart Prairie Preserve,Slash pile burn,35.353147,-111.735533,3/3/2015,3/3/2015,Non-broadcast,,,,Rural,"[""TNC""]",Arizona,Low
Saddle Blanket Scrub Preserve,SB-7,27.655891,-81.575534,3/4/2015,3/4/2015,Broadcast,20,20,,Rural,"[""TNC""]",Florida,Low
Moody Forest Natural Area,8 east,31.90298389,-82.31123927,3/4/2015,3/4/2015,Broadcast,25,25,,Rural,"[""TNC""]",Georgia,Medium
Tiger Creek Preserve,TF-3,27.844655,-81.471821,3/5/2015,3/5/2015,Broadcast,12,12,,Rural,"[""TNC""]",Florida,Low
Tallgrass Prairie Preserve,W. Spring Trap & Hiking Trail,36.850292,-96.431568,3/7/2015,3/7/2015,Broadcast,668,668,,Rural,"[""TNC""]",Oklahoma,Low
Pine Hill,1,35.045644,-79.374117,3/8/2015,3/8/2015,Broadcast,20,20,,Rural,"[""Contractor""]",North Carolina,Low
Sage's Ridge,1,34.481147,-77.593227,3/8/2015,3/8/2015,Broadcast,150,150,,Rural,"[""TNC""]",North Carolina,Medium
"Pine Knot, CFL ACUB",Beasley,32.46039518,-84.65448144,3/9/2015,3/9/2015,Broadcast,20,20,,Rural,"[""TNC""]",Georgia,Medium
Piney Grove Preserve,56 South,36.96,-77.08,3/9/2015,3/9/2015,Broadcast,34,34,,Rural,"[""TNC""]",Virginia,Low
Pine Hill,5,35.049133,-79.371981,3/9/2015,3/9/2015,Broadcast,38,38,,Rural,"[""Contractor""]",North Carolina,Low
Pine Hill,4,35.049166,-79.377503,3/9/2015,3/9/2015,Broadcast,55,55,,Rural,"[""Contractor""]",North Carolina,Low
McLean Savanna,Leamon,34.449219,-77.772768,3/9/2015,3/9/2015,Broadcast,70,70,,Rural,"[""TNC""]",North Carolina,Medium
Calloway Forest,36,35.022438,-79.265291,3/9/2015,3/9/2015,Broadcast,136,136,,Rural,"[""TNC""]",North Carolina,Low
Konza Prairie,C1A,39.0772,-96.5433,3/9/2015,3/9/2015,Broadcast,231.73,231.73,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Konza Prairie,C3C,39.0843,-96.5477,3/9/2015,3/9/2015,Broadcast,253.09,253.09,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Konza Prairie,C3SC,39.1139,-96.5439,3/9/2015,3/9/2015,Broadcast,313.87,313.87,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Sandy Island,Units 1/4/6/7,33.581726,-79.125454,3/9/2015,3/9/2015,Broadcast,326,326,,Rural,"[""TNC""]",South Carolina,Medium
Derr Yard,Derr Yard,40.44,-98.34,3/10/2015,3/10/2015,Broadcast,2,2,,Rural,"[""TNC""]",Nebraska,Low
