Managed Area Name,Burn Unit Name,Latitude,Longitude,Start Date,End Date,Type of Burn,Total Acres of Burn,TNC Acres Burned,Other Landowner,Rural or Urban,Burn Lead,StateName,BurnComplexity
Platte River Prairies,SE 150th & Denman Rd_16,40.72229068,-98.62389799,5/4/2016,5/4/2016,Broadcast,36,36,,Rural,"[""TNC""]",Nebraska,Low
Lake Ramsay Complex,LR-2,30.51310974,-90.16149058,5/4/2016,5/4/2016,Broadcast,40,40,,Rural,"[""TNC""]",Louisiana,Low
Platte River Prairies,140th Ave. & Rainforth Rd_16,40.72788469,-98.60347029,5/4/2016,5/4/2016,Broadcast,48,48,,Rural,"[""TNC""]",Nebraska,Low
Lake Johanna Esker,Quam Central,45.43390341,-95.20761938,5/4/2016,5/4/2016,Broadcast,84,84,,Rural,"[""TNC""]",Minnesota,Low
Davis Ranch,3-May,47.36066954,-100.2865589,5/4/2016,5/4/2016,Broadcast,105,105,,Rural,"[""TNC""]",North Dakota,Low
Broken Kettle Grasslands,Corral Complex,42.71631018,-96.58770396,5/5/2016,5/5/2016,Broadcast,15,15,,Rural,"[""TNC""]",Iowa,Medium
Ordway Prairie,Knutson,45.43187088,-95.25280265,5/5/2016,5/5/2016,Broadcast,42,42,,Rural,"[""TNC""]",Minnesota,Low
CFL,Pine Knot F2 ,32.47696499,-84.59574937,5/5/2016,5/5/2016,Broadcast,83,83,,Rural,"[""TNC""]",Georgia,Medium
Spring Prairie,Southeast,46.86887827,-96.79906953,5/5/2016,5/5/2016,Broadcast,156,156,,Rural,"[""TNC""]",Minnesota,Low
Mike's Pond,"MP-4,5,6",30.55703894,-88.75608824,5/5/2016,5/5/2016,Broadcast,178,176,"[""Private""]",Rural,"[""TNC""]",Mississippi,Low
Strandness,South,46.87263366,-96.76611055,5/6/2016,5/6/2016,Broadcast,23,23,,Rural,"[""TNC""]",Minnesota,Low
Lake Ramsay Complex,"WMA-3, LR-9,10S",30.5265321,-90.16186252,5/6/2016,5/6/2016,Broadcast,158,43,,Rural,"[""TNC""]",Louisiana,Low
Splinter Hill Bog Preserve,Unit 6 and western portion of Unit 5,31.01029599,-87.71230951,5/6/2016,5/6/2016,Broadcast,120,118,"[""Private""]",Rural,"[""TNC""]",Alabama,Medium
Fifteenmile Creek ,1/2/2003,32.36528798,-82.02876872,5/6/2016,5/6/2016,Broadcast,132,132,,Rural,"[""TNC""]",Georgia,Medium
Williams Bluffs,5-6-7-8-9-10,31.20133312,-85.08917901,5/6/2016,5/6/2016,Broadcast,400,400,,Rural,"[""TNC""]",Georgia,Medium
Cross Ranch,Front Range,47.24091858,-101.0464477,5/7/2016,5/7/2016,Broadcast,180,180,,Rural,"[""TNC""]",North Dakota,Low
Myrtle Head Savanna,North,34.139947,-78.500821,5/8/2016,5/8/2016,Broadcast,35,35,,Rural,"[""TNC""]",North Carolina,Medium
Apalachicola Bluffs and Ravines Preserve,"3, 4",30.45654606,-84.9671936,5/9/2016,5/9/2016,Broadcast,65,65,,Rural,"[""TNC""]",Florida,Low
Eales Preserve,Unit 10 and 11,41.44804153,-75.5282889,5/10/2016,5/10/2016,Broadcast,81,81,,Rural,"[""TNC""]",Pennsylvania,Medium
McLean Savanna,Metcalfe,34.454641,-77.759147,5/10/2016,5/10/2016,Broadcast,90,90,,Rural,"[""TNC""]",North Carolina,Medium
CFL,Pine Knot A6,32.44823176,-84.65525957,5/10/2016,5/10/2016,Broadcast,134,134,,Rural,"[""TNC""]",Georgia,Medium
Disney Wilderness Preserve,21N,28.06780713,-81.39419078,5/10/2016,5/10/2016,Broadcast,306,306,,Rural,"[""TNC""]",Florida,Low
Weaver Dunes,Cox,44.25489143,-91.92721379,5/12/2016,5/12/2016,Broadcast,27,27,,Rural,"[""TNC""]",Minnesota,Low
Private Land,Ashland TREX - McKinley/Kelly Underburn,42.12654909,-122.4518559,5/12/2016,5/14/2016,Broadcast,40,40,,Rural,"[""TNC""]",Oregon,Medium
Weaver Dunes,Northwest,44.26066303,-91.93209946,5/12/2016,5/12/2016,Broadcast,60,60,,Rural,"[""TNC""]",Minnesota,Low
Apalachicola Bluffs and Ravines Preserve,5,30.45843271,-84.97238635,5/12/2016,5/12/2016,Broadcast,74,74,,Rural,"[""TNC""]",Florida,Low
Disney Wilderness Preserve,"9, 12E",28.03546288,-81.39633655,5/12/2016,5/12/2016,Broadcast,353,353,,Rural,"[""TNC""]",Florida,Low
Pembina Trail,Grids,46.85385412,-96.71117891,5/13/2016,5/13/2016,Broadcast,2.5,2.5,,Rural,"[""TNC""]",Minnesota,Low
Weaver Dunes,Southwest,44.25418779,-91.93375022,5/14/2016,5/14/2016,Broadcast,160,160,,Rural,"[""TNC""]",Minnesota,Low
Summerfield Springs Preserve,Shortleaf-Oak-Hickory Restoration Unit,32.95255138,-92.83634104,5/14/2016,5/14/2016,Broadcast,220,220,,Rural,"[""Contractor""]",Louisiana,Low
Freda Haffner Preserve,North,43.34818364,-95.22177292,5/15/2016,5/15/2016,Broadcast,40,40,,Rural,"[""TNC""]",Iowa,Medium
Leif Mountains,Northwest,45.4030762,-95.16349265,5/15/2016,5/15/2016,Broadcast,52,52,,Rural,"[""TNC""]",Minnesota,Low
Anna Gronseth Prairie,Wausmuth,46.88670129,-96.75759986,5/15/2016,5/15/2016,Broadcast,71,71,,Rural,"[""TNC""]",Minnesota,Low
Pine Knot ,I5,32.45478631,-84.56301221,5/16/2016,5/16/2016,Broadcast,23,23,,Rural,"[""TNC""]",Georgia,Medium
Apalachicola Bluffs and Ravines Preserve,36,30.49139654,-84.94869708,5/16/2016,5/16/2016,Broadcast,30,30,,Rural,"[""TNC""]",Florida,Low
Apalachicola Bluffs and Ravines Preserve,46,30.50377545,-84.97639894,5/16/2016,5/16/2016,Broadcast,32,32,,Rural,"[""TNC""]",Florida,Low
Staffanson Prairie,West,46.87638877,-96.75512422,5/16/2016,5/16/2016,Broadcast,55,55,,Rural,"[""TNC""]",Minnesota,Low
Tiger Creek Preserve,"CH 1, 4-7",27.82502648,-81.45993709,5/16/2016,5/16/2016,Broadcast,72,72,,Rural,"[""TNC""]",Florida,Low
Ohoopee Dunes,1,32.52232907,-82.43924233,5/16/2016,5/16/2016,Broadcast,79,79,,Rural,"[""TNC""]",Georgia,Medium
Davis Ranch,5-Aug,47.407671,-100.2893484,5/16/2016,5/16/2016,Broadcast,130,130,,Rural,"[""TNC""]",North Dakota,Medium
Piney Grove Preserve,"Units 10, 11, 12, 13, 14",36.96651597,-77.08006485,5/16/2016,5/16/2016,Broadcast,318,318,,Rural,"[""TNC""]",Virginia,Low
Lake Alexander,Bear Cabins,46.19391992,-94.50329801,5/17/2016,5/17/2016,Broadcast,61,58,"[""Private""]",Rural,"[""TNC""]",Minnesota,Low
Town Hall Prairie,Northwest,46.86887827,-96.77709687,5/17/2016,5/17/2016,Broadcast,113,113,,Rural,"[""TNC""]",Minnesota,Low
Davis Ranch,S Salt Lake,47.33063163,-100.2789414,5/17/2016,5/17/2016,Broadcast,150,150,,Rural,"[""TNC""]",North Dakota,Medium
"Katama Plains, Edgartown, MA  ",Katama Unit 2,41.35255504,-70.52485426,5/18/2016,5/18/2016,Broadcast,45,45,,Rural,"[""Contractor""]",Massachusetts,Medium
Bluestem Prairie SNA,"TNC-BP-6, 13, 16",46.86741592,-96.77068002,5/18/2016,5/18/2016,Broadcast,257,257,,Rural,"[""TNC""]",Minnesota,Low
Sheepberry Fen,West Complex,45.43443309,-95.30563062,5/18/2016,5/18/2016,Broadcast,647,461,"[""Private""]",Rural,"[""TNC""]",Minnesota,Medium
Caribou WMA,Caribou South Pastures,46.86735839,-96.74413789,5/18/2016,5/18/2016,Broadcast,"2,428",800,,Rural,"[""TNC""]",Minnesota,Medium
Knapp Prairie,Bravo East,42.66432562,-96.45076109,5/19/2016,5/19/2016,Broadcast,10,10,,Rural,"[""TNC""]",Iowa,Medium
Caribou WMA,Caribou NE,46.88693483,-96.75179197,5/19/2016,5/19/2016,Broadcast,"1,983",265,,Rural,"[""TNC""]",Minnesota,Medium
Leif Mountains,South Central,45.38838629,-95.14800382,5/20/2016,5/20/2016,Broadcast,56,56,,Rural,"[""TNC""]",Minnesota,Low
Chippewa Prairie,Unit 3,45.13932511,-95.99609197,5/20/2016,5/20/2016,Broadcast,285,265,"[""State/Local Government""]",Rural,"[""TNC""]",Minnesota,Low
Broxton Rocks,12/13/2014,31.7401327,-82.84294937,5/22/2016,5/22/2016,Broadcast,181,181,,Rural,"[""TNC""]",Georgia,Medium
CFL,Pine Knot A10,32.4087261,-84.65599414,5/23/2016,5/23/2016,Broadcast,488,488,,Rural,"[""TNC""]",Georgia,Medium
Quewhiffle,3,35.064301,-79.426201,5/24/2016,5/24/2016,Broadcast,61,61,,Rural,"[""Contractor""]",North Carolina,Low
Black River,Haw Bluff East,34.48892709,-78.22983711,5/24/2016,5/24/2016,Broadcast,140,140,,Rural,"[""TNC""]",North Carolina,Medium
Abita Creek Flatwoods Preserve,"A-7,8,9N",30.52183271,-89.96192706,5/24/2016,5/24/2016,Broadcast,190,190,,Rural,"[""TNC""]",Louisiana,Low
Apalachicola Bluffs and Ravines Preserve,"6-11, 21",30.47263695,-84.96303081,5/24/2016,5/24/2016,Broadcast,472,472,,Rural,"[""TNC""]",Florida,Low
Abita Creek Flatwoods Preserve,"A-4, 9S",30.5066711,-89.96878194,5/25/2016,5/25/2016,Broadcast,70,70,,Rural,"[""TNC""]",Louisiana,Low
Pine Hill,2,35.048,-79.386398,5/26/2016,5/26/2016,Broadcast,64,64,,Rural,"[""TNC""]",North Carolina,Low
Angola Creek Flatwoods,4,34.71002851,-77.70472496,5/26/2016,5/26/2016,Broadcast,65,65,,Rural,"[""TNC""]",North Carolina,Medium
Broken Kettle Grasslands,Crown Vetch,42.69978582,-96.5444882,6/1/2016,6/1/2016,Broadcast,7,7,,Rural,"[""TNC""]",Iowa,Medium
Venus Flatwoods Preserve,All Units,27.08565702,-81.40107869,6/3/2016,6/3/2016,Broadcast,100,100,,Rural,"[""TNC""]",Florida,Low
Calloway Forest,14,35.0336,-79.2892,6/8/2016,6/8/2016,Broadcast,89,89,,Rural,"[""TNC""]",North Carolina,Low
Green Swamp,McMillan 2,34.091018,-78.187413,6/9/2016,6/9/2016,Broadcast,100,100,,Rural,"[""TNC""]",North Carolina,Medium
Longbranch,NE-NW,31.34521238,-81.89416716,6/10/2016,6/10/2016,Broadcast,166,166,,Rural,"[""TNC""]",Georgia,Medium
Disney Wilderness Preserve,Bobs Flatwoods N,28.11763002,-81.42817973,6/14/2016,6/14/2016,Broadcast,247,247,,Rural,"[""TNC""]",Florida,Low
Green Swamp,Beanpatch,34.08534833,-78.28503697,6/16/2016,6/16/2016,Broadcast,70,70,,Rural,"[""TNC""]",North Carolina,Medium
Disney Wilderness Preserve,"7, 12W",28.05993027,-81.42955302,6/16/2016,6/16/2016,Broadcast,736,736,,Rural,"[""TNC""]",Florida,Low
Vina Plains Preserve,Wurlitzer,39.87891443,-121.988887,6/18/2016,6/18/2016,Broadcast,308,308,,Rural,"[""Government Agency""]",California,
Dye Creek Preserve,Pond Unit,40.07644608,-122.0534231,6/19/2016,6/19/2016,Broadcast,705,705,,Rural,"[""Government Agency""]",California,
Apalachicola Bluffs and Ravines Preserve,"1, 2, 26, 26A",30.47012177,-84.94526385,6/20/2016,6/20/2016,Broadcast,451,451,,Rural,"[""TNC""]",Florida,Low
Lake Ramsay Complex,LR-7,30.50707908,-90.16452311,6/23/2016,6/23/2016,Broadcast,21,21,,Rural,"[""TNC""]",Louisiana,Low
Tenalquot,TQ2016B,46.901,-122.716,6/29/2016,6/29/2016,Broadcast,15,15,,Rural,"[""Contractor; Other (NGO partner, Fire Department etc)""]",Washington,Low
Calloway,"Calloway27, Calloway 18",35.0391006,-79.277298,7/13/2016,7/13/2016,Broadcast,283,230,,Rural,"[""TNC""]",North Carolina,Medium
Sandylands Preserve,Highline ,30.36272025,-94.2408146,7/14/2016,7/14/2016,Broadcast,85,85,,Rural,"[""TNC""]",Texas,Medium
Disney Wilderness Preserve,Dorm Cogon Patch,28.11422074,-81.43706018,7/15/2016,7/15/2016,Broadcast,1,1,,Rural,"[""TNC""]",Florida,Low
Tenalquot,2016A,46.901,-122.726,7/21/2016,7/21/2016,Broadcast,5,5,,Rural,"[""Contractor; Other (NGO partner, Fire Department etc)""]",Washington,Low
Tenalquot,2016B,46.901,-122.726,7/21/2016,7/21/2016,Broadcast,10,10,,Rural,"[""Contractor; Other (NGO partner, Fire Department etc)""]",Washington,Low
Konza Prairie,SuB,39.0737,-96.5674,7/26/2016,7/26/2016,Broadcast,38.62,38.62,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Konza Prairie,SuA,39.0674,-96.5693,7/26/2016,7/26/2016,Broadcast,56.488,56.488,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Albany Pine Bush Preserve,Bluestem,42.7164039,-73.86533875,8/5/2016,8/5/2016,Broadcast,5,2.5,"[""State/Local Government; Private""]",Urban,"[""Government Agency""]",New York,Medium
Albany Pine Bush Preserve,Babble,42.71689093,-73.86668383,8/8/2016,8/8/2016,Broadcast,5,5,,Urban,"[""Government Agency""]",New York,Medium
Mad Island Preserve,Middle unit south,28.658351,-96.087741,8/9/2016,8/9/2016,Broadcast,171,171,,Rural,"[""TNC""]",Texas,Medium
Mad Island Preserve,Middle,28.669013,-96.086863,8/10/2016,8/10/2016,Broadcast,1,1,,Rural,"[""TNC""]",Texas,Medium
Mad Island Preserve,Brushy Point,28.639929,-96.096757,8/10/2016,8/10/2016,Broadcast,200,200,,Rural,"[""TNC""]",Texas,Medium
Smoky Valley Ranch,Far West,38.832,-100.842,8/11/2016,8/11/2016,Broadcast,379,379,,Rural,"[""Government Agency""]",Kansas,Low
Tallgrass Prairie Preserve,"Northwest of ""T""",36.845497,-96.453346,8/17/2016,8/17/2016,Broadcast,218,218,,Rural,"[""TNC""]",Oklahoma,Low
Smoky Valley Ranch,Long East,38.849,-100.954,8/18/2016,8/18/2016,Broadcast,519,519,,Rural,"[""Government Agency""]",Kansas,Low
Tallgrass Prairie Preserve,West Bison Unit,36.823257,-96.47619,8/18/2016,8/18/2016,Broadcast,578,578,,Rural,"[""TNC""]",Oklahoma,Low
Tallgrass Prairie Preserve,Bison - JRB South,36.783743,-96.405444,8/22/2016,8/22/2016,Broadcast,453,453,,Urban,"[""TNC""]",Oklahoma,Low
Williams Burton,Williams Burton,34.474989,-78.174816,8/23/2016,8/23/2016,Broadcast,103,103,,Rural,"[""Government Agency""]",North Carolina,Medium
Shaken Creek,SC Mule Pen,34.586352,-77.703364,8/23/2016,8/23/2016,Broadcast,160,160,,Rural,"[""TNC""]",North Carolina,Medium
Shaken Creek,SC Mule Pen,34.586352,-77.703364,8/24/2016,8/24/2016,Broadcast,85,85,,Rural,"[""TNC""]",North Carolina,Medium
Yellow Island,West Meadow,48.5918,-123.0332,8/27/2016,8/27/2016,Broadcast,3,3,,Rural,"[""Contractor; Other (NGO partner, Fire Department etc)""]",Washington,Low
Felsenthal West Preserve,Wolf Creek - North,33.02858616,-92.15722523,9/1/2016,9/1/2016,Broadcast,126,126,,Rural,"[""TNC""]",Arkansas,Medium
Felsenthal West Preserve,Stateline - NE,33.01721092,-92.1590793,9/3/2016,9/3/2016,Broadcast,95,95,,Rural,"[""TNC""]",Arkansas,Medium
Clymer Meadow Preserve,Scabiosa Plots,33.302448,-96.243283,9/7/2016,9/7/2016,Non-broadcast,,,,Rural,"[""TNC""]",Texas,Low
Niawathe,Unit 3,37.517682,-93.971928,9/13/2016,9/13/2016,Broadcast,60,20,"[""State/Local Government""]",Rural,"[""Government Agency""]",Missouri,Medium
Willow Creek Preserve,Experimental Plots (Fender's Blue Butterfly),44.031998,-123.172992,9/15/2016,9/15/2016,Broadcast,1,1,,Urban,"[""TNC""]",Oregon,Medium
Willow Creek Preserve,Bailey,44.026261,-123.169132,9/15/2016,9/15/2016,Broadcast,13,13,,Urban,"[""TNC""]",Oregon,Medium
Willow Creek Preserve,Rathbone,44.0324,-123.180226,9/15/2016,9/15/2016,Broadcast,15,15,,Urban,"[""TNC""]",Oregon,Medium
Willow Creek Preserve,Hayfield,44.029048,-123.173372,9/15/2016,9/15/2016,Broadcast,23,23,,Urban,"[""TNC""]",Oregon,Medium
Felsenthal West Preserve,Stateline - SE,33.01064344,-92.15592503,9/15/2016,9/15/2016,Broadcast,75,75,,Rural,"[""TNC""]",Arkansas,Medium
Greiner,Brush piles,41.515,-91.073,9/15/2016,9/15/2016,Non-broadcast,,,,Rural,"[""TNC""]",Iowa,Low
Finley National Wildlife Refuge,NW Middle Prairie,44.393857,-123.310847,9/20/2016,9/20/2016,Non-broadcast,,,,Rural,"[""TNC""]",Oregon,Medium
Noble Oaks Preserve,Kudu South,45.059203,-123.446665,9/22/2016,9/22/2016,Broadcast,10,10,,Rural,"[""TNC""]",Oregon,Medium
Noble Oaks Preserve,Kirkham South,45.060937,-123.475533,9/22/2016,9/22/2016,Broadcast,37,37,,Rural,"[""TNC""]",Oregon,Medium
Trap Mountain Preserve,North,34.39591563,-93.20951818,9/27/2016,9/27/2016,Broadcast,83,83,,Rural,"[""TNC""]",Arkansas,Medium
Pine Knot,Beasley Piles,32.45869056,-84.65395104,9/27/2016,9/27/2016,Non-broadcast,,,,Rural,"[""TNC""]",Georgia,Low
Yamhill Oaks - Gopher Valley,FBB (Fender's Blue Butterfly),45.178955,-123.372047,9/28/2016,9/28/2016,Broadcast,6,6,,Rural,"[""TNC""]",Oregon,Medium
Yamhill Oaks - Gopher Valley,Plantation,45.183811,-123.379814,9/28/2016,9/28/2016,Broadcast,20,20,,Rural,"[""TNC""]",Oregon,Medium
Flat Ranch Preserve,River Pasture,44.57067897,-111.3255952,9/28/2016,9/28/2016,Broadcast,70,70,,Rural,"[""TNC""]",Idaho,Low
Prairie Ridge Preserve,North,34.10244208,-93.16428541,9/28/2016,9/28/2016,Broadcast,135,135,,Rural,"[""TNC""]",Arkansas,Medium
Greiner,Brush Piles,41.513,-91.073,9/28/2016,9/28/2016,Non-broadcast,,,,Rural,"[""TNC""]",Iowa,Low
Presson-Oglesby Preserve,Foot,35.34444828,-94.01396631,9/29/2016,9/29/2016,Broadcast,40,40,,Rural,"[""TNC""]",Arkansas,Medium
Fort Perry Black Creek,BlackJack Unit 4 research plots,32.58847463,-84.5012046,9/30/2016,9/30/2016,Broadcast,5,5,,Rural,"[""TNC""]",Georgia,Medium
Bluestem Prairie,Training Unit,46.845956,-96.474624,9/30/2016,9/30/2016,Broadcast,10,10,,Rural,"[""TNC""]",Minnesota,Low
Edge of Appalachia,Chi East,38.83086577,-83.39919728,10/1/2016,10/1/2016,Broadcast,45,45,,Rural,"[""TNC""]",Ohio,Low
Tallgrass Prairie Preserve,HQ Bottom,36.84435,-96.422692,10/3/2016,10/3/2016,Broadcast,7,7,,Rural,"[""TNC""]",Oklahoma,Low
Tallgrass Prairie Preserve,Hill Pens West,36.841041,-96.432888,10/3/2016,10/3/2016,Broadcast,43,43,,Rural,"[""TNC""]",Oklahoma,Low
Tallgrass Prairie Preserve,Colt Trap,36.847892,-96.417604,10/3/2016,10/3/2016,Broadcast,56,56,,Rural,"[""TNC""]",Oklahoma,Low
Zumwalt Prairie Preserve,Fire Graze Blocks 1 & 2,45.64537486,-116.9480055,10/3/2016,10/3/2016,Broadcast,155,155,,Rural,"[""TNC""]",Oregon,Medium
Tallgrass Prairie National Preserve,Fall 2016 CH/RH,38.419,-96.585,10/3/2016,10/3/2016,Broadcast,"1,337","1,337",,Rural,"[""Government Agency""]",Kansas,Medium
Waterboro Barrens Preserve,Blueberry Unit 6,43.60803014,-70.79880888,10/4/2016,10/4/2016,Broadcast,16,16,,Rural,"[""TNC""]",Maine,Low
Clymer Meadow Preserve,Unit 2,33.30882622,-96.22522215,10/4/2016,10/4/2016,Broadcast,140,140,,Rural,"[""TNC""]",Texas,Medium
Davis Mountains Preserve,Davis Mountains Piles 1,30.700316,-104.115244,10/4/2016,10/4/2016,Non-broadcast,,,,Rural,"[""TNC""]",Texas,Low
Kitty Todd Preserve,Fringed Gentian_Mancy South,41.61965925,-83.81223172,10/5/2016,10/5/2016,Broadcast,2,2,,Urban,"[""TNC""]",Ohio,Low
Zumwalt Prairie Preserve,Fire Graze Block 4,45.64537486,-116.9480055,10/5/2016,10/5/2016,Broadcast,80,80,,Rural,"[""TNC""]",Oregon,Medium
Clymer Meadow Preserve,Unit 1,33.308565,-96.238254,10/5/2016,10/5/2016,Broadcast,250,250,,Rural,"[""TNC""]",Texas,Medium
Clymer Meadow Preserve,Clymer West ,33.307997,-96.244978,10/5/2016,10/5/2016,Broadcast,375,375,,Rural,"[""TNC""]",Texas,Medium
Bluestem Prairie,Training Unit,46.845956,-96.474624,10/6/2016,10/6/2016,Broadcast,2,2,,Rural,"[""TNC""]",Minnesota,Low
Kitty Todd Preserve,Junegrass_Ratliff,41.60623037,-83.81331319,10/6/2016,10/6/2016,Broadcast,23,23,,Urban,"[""TNC""]",Ohio,Low
Roscoe Prairie,Southwest,45.4171,-95.6813,10/9/2016,10/9/2016,Broadcast,10,10,,Rural,"[""TNC""]",Minnesota,Medium
Edge of Appalachia,Skunk house,38.83557716,-83.38801354,10/10/2016,10/10/2016,Broadcast,11,11,,Rural,"[""TNC""]",Ohio,Low
Edge of Appalachia,Egolf,38.83193555,-83.38864011,10/10/2016,10/10/2016,Broadcast,45,45,,Rural,"[""TNC""]",Ohio,Low
Felsenthal West Preserve,Hogg Creek West,33.10947441,-92.20868086,10/11/2016,10/11/2016,Broadcast,80,80,,Rural,"[""TNC""]",Arkansas,Medium
Zumwalt Prairie Preserve,Fire Graze Block 3,45.68000419,-116.9738438,10/11/2016,10/11/2016,Broadcast,120,120,,Rural,"[""TNC""]",Oregon,Medium
Zumwalt Prairie Preserve,Coyote South Central,45.64797351,-116.9528544,10/11/2016,10/11/2016,Broadcast,206,206,,Rural,"[""TNC""]",Oregon,Medium
Davis Mountains Preserve,Davis Mountains piles 2,30.693997,-104.119598,10/11/2016,10/14/2016,Non-broadcast,,,,Rural,"[""TNC""]",Texas,Low
Ossipee Pine Barrens,Hobbs Buffer,43.81557269,-71.16399832,10/12/2016,10/12/2016,Broadcast,24,24,,Rural,"[""TNC""]",New Hampshire,Medium
Nash Prairie Preserve,Corn Whiskey,29.250774,-95.606722,10/12/2016,10/12/2016,Broadcast,50,50,,Rural,"[""TNC""]",Texas,Medium
Edge of Appalachia,Campbell,38.84183031,-83.36846989,10/12/2016,10/12/2016,Broadcast,59,59,,Rural,"[""TNC""]",Ohio,Medium
Nash Prairie Preserve,Sparrow,29.250533,-95.599957,10/12/2016,10/12/2016,Broadcast,60,60,,Rural,"[""TNC""]",Texas,Medium
Felsenthal West Preserve,Wolf Creek South,33.02149301,-92.15556024,10/12/2016,10/12/2016,Broadcast,140,140,,Rural,"[""TNC""]",Arkansas,Medium
Zumwalt Prairie Preserve,Coyote North Central,45.64797351,-116.9528544,10/12/2016,10/12/2016,Broadcast,277,277,,Rural,"[""TNC""]",Oregon,Medium
Nash Prairie Preserve,Bull Trap,29.25893,-95.599834,10/13/2016,10/13/2016,Broadcast,20,20,,Rural,"[""TNC""]",Texas,Medium
Nash Prairie Preserve,Bull Pasture,29.259053,-95.604983,10/13/2016,10/13/2016,Broadcast,30,30,,Rural,"[""TNC""]",Texas,Medium
Audubon Prairie,South,46.800967,-96.390703,10/15/2016,10/15/2016,Broadcast,107,85,,Rural,"[""TNC""]",Minnesota,Low
Piney Grove Preserve,Unit 1/32,36.97045469,-77.08003883,10/18/2016,10/18/2016,Broadcast,40,40,,Rural,"[""TNC""]",Virginia,Low
Regal Meadow,North Resto,45.3819,-95.8405,10/18/2016,10/18/2016,Broadcast,66,66,,Rural,"[""TNC""]",Minnesota,Medium
Kitty Todd Preserve,Fringed Gentian_Freelon North,41.62830323,-83.80453056,10/19/2016,10/19/2016,Broadcast,1,1,,Urban,"[""TNC""]",Ohio,Low
Medora Prairie,Medora East,41.206,-93.626,10/19/2016,10/19/2016,Broadcast,25,25,,Rural,"[""Contractor""]",Iowa,Medium
Tallgrass Prairie National Preserve,Fall 2016 South Palmer,38.48906768,-96.58249005,10/19/2016,10/19/2016,Broadcast,810,810,,Rural,"[""Government Agency""]",Kansas,Medium
Tallgrass Prairie National Preserve,Bottomland Restoration,38.411,-96.552,10/20/2016,10/20/2016,Broadcast,20,20,,Rural,"[""Government Agency""]",Kansas,Medium
Sheepberry Fen,North 40,45.443,-95.2919,10/20/2016,10/20/2016,Broadcast,25,25,,Rural,"[""TNC""]",Minnesota,Medium
Tallgrass Prairie National Preserve,Fall 2016 North Palmer,38.49578556,-96.5831767,10/20/2016,10/20/2016,Broadcast,333,333,,Rural,"[""Government Agency""]",Kansas,Medium
Saco Heath Preserve ,Burn Piles,43.55088402,-70.4668025,10/20/2016,10/22/2016,Non-broadcast,,,,Urban,"[""TNC""]",Maine,Low
Pilot Serpentine Barrens,U3,39.70296,-76.18979,10/24/2016,10/24/2016,Broadcast,12,12,,Rural,"[""TNC""]",Maryland,Medium
Davis Mountains Preserve,Davis Mountains Piles 3,30.699922,-104.130221,10/24/2016,10/27/2016,Non-broadcast,,,,Rural,"[""TNC""]",Texas,Low
Pawhuska Prairie,Pawhuska,37.538099,-94.162243,10/25/2016,10/25/2016,Broadcast,31,31,,Rural,"[""Government Agency""]",Missouri,Medium
Felsenthal West Preserve,Dollar Junction,33.06034615,-92.1733272,10/25/2016,10/25/2016,Broadcast,225,225,,Rural,"[""TNC""]",Arkansas,Medium
Marmaton Wet Bottom Prairie,Marmaton Prairie,37.893,-94.393,10/29/2016,10/29/2016,Broadcast,147,100,"[""Private""]",Rural,"[""Government Agency""]",Missouri,Medium
Kitty Todd Preserve,Prickley Pear_south Piels,41.61869678,-83.78609628,10/31/2016,10/31/2016,Broadcast,43,43,,Urban,"[""TNC""]",Ohio,Low
Harrison County Glades,Brake,38.03851281,-85.97430922,11/1/2016,11/1/2016,Broadcast,12,12,,Rural,"[""TNC""]",Indiana,Low
Pigeon Point,North Field,46.50594763,-97.39059903,11/1/2016,11/1/2016,Broadcast,15,15,,Rural,"[""TNC""]",North Dakota,Low
Kitty Todd Preserve,Fringed Gentian_Patton,41.62174456,-83.80201787,11/1/2016,11/1/2016,Broadcast,28.5,28.5,,Urban,"[""TNC""]",Ohio,Low
Perseverance Barrens,Mainsource,38.1296385,-86.12572345,11/2/2016,11/2/2016,Broadcast,4,4,,Rural,"[""TNC""]",Indiana,Low
Albany Pine Bush Preserve,Antelope,42.71890885,-73.86256395,11/5/2016,11/5/2016,Broadcast,23,16,"[""State/Local Government; Private""]",Urban,"[""Government Agency""]",New York,Medium
Grasshopper Hollow,Prairie Fen,31.4319,-91.0931,11/6/2016,11/6/2016,Broadcast,21,21,,Rural,"[""TNC""]",Missouri,Medium
Kitty Todd Preserve,Fringed Gentian_Mancy North,41.62832087,-83.80356282,11/7/2016,11/7/2016,Broadcast,1,1,,Rural,"[""TNC""]",Ohio,Low
Nassawango Creek Preserve,U5,38.30286,-75.46023,11/7/2016,11/7/2016,Broadcast,30,30,,Rural,"[""TNC""]",Maryland,Medium
Shut-In Mountain Fens,Fen Unit,37.1059,-91.2321,11/7/2016,11/7/2016,Broadcast,75,75,,Rural,"[""TNC""]",Missouri,Medium
Albany Pine Bush Preserve,Cupcake,42.71562969,-73.86359392,11/8/2016,11/8/2016,Broadcast,10,1,"[""State/Local Government; Private""]",Urban,"[""Government Agency""]",New York,Medium
Berry Woods,Berry Woods West,41.415,-93.587,11/9/2016,11/9/2016,Broadcast,19,19,,Rural,"[""Contractor""]",Iowa,Medium
