Burn Date,Air District,County,Air Basin,Acres Requested,Acres Burned,Latitude,Longitude,Legal Location,Agency,Burn Unit,Burn Type,Fuel Type,Total Tons
1/1/2011,El Dorado County AQMD,El Dorado,Lake Tahoe,UNK,0,39.03,-120.127,UNK,US Forest Service,Bobwhite Handthin 14-16,Unknown,Brush,N/A
1/22/2011,Great Basin Unified APCD,Mono,Great Basin Valleys,UNK,168,38.608,-119.592,UNK,Retired or Moved On,SV Unit 3,Unknown,Slash,N/A
1/22/2011,Great Basin Unified APCD,Mono,Great Basin Valleys,UNK,52,38.608,-119.592,UNK,Retired or Moved On,SV Unit 4,Unknown,Slash,N/A
2/15/2011,Great Basin Unified APCD,Inyo,Great Basin Valleys,UNK,73,37.471,-118.383,UNK,Retired or Moved On,Fish Slough FY2011,Unknown,Natural,N/A
3/4/2011,Great Basin Unified APCD,Mono,Great Basin Valleys,UNK,144,38.608,-119.592,UNK,Retired or Moved On,SV Unit 1,Unknown,Slash,N/A
3/3/2011,Great Basin Unified APCD,Mono,Great Basin Valleys,UNK,121,38.608,-119.592,UNK,Retired or Moved On,SV Unit 2,Unknown,Slash,N/A
3/3/2011,Great Basin Unified APCD,Alpine,Great Basin Valleys,UNK,7,38.728,-119.789,UNK,Bureau of Land Management,Airport Road North - Hwy 89 West,Unknown,N/A,N/A
4/6/2011,Butte County AQMD,Butte,Sacramento Valley,UNK,0,39.885,-121.61,UNK,Sierra Pacific Industries,Butte,Unknown,Slash,N/A
5/4/2011,Great Basin Unified APCD,Alpine,Great Basin Valleys,UNK,17,0,0,UNK,US Forest Service,Markleevillage Understory,Unknown,N/A,N/A
5/24/2011,San Joaquin Valley APCD,Merced,San Joaquin Valley,UNK,270,37.304,-120.931,UNK,US Fish and Wildlife Services,Walker Unit,Unknown,Natural,N/A
5/20/2011,Great Basin Unified APCD,Alpine,Great Basin Valleys,UNK,10,0,0,UNK,US Forest Service,Markleevillage Understory,Unknown,N/A,N/A
5/24/2011,Feather River AQMD,Yuba,Sacramento Valley,UNK,0,39.433,-121.144,UNK,US Forest Service,Golden Service Contract 999,Unknown,Timber slash,N/A
5/24/2011,Feather River AQMD,Yuba,Sacramento Valley,UNK,0,39.433,-121.144,UNK,US Forest Service,Golden Service Contract 999,Unknown,Timber slash,N/A
5/24/2011,Feather River AQMD,Yuba,Sacramento Valley,UNK,0,39.433,-121.144,UNK,US Forest Service,Golden Service Contract 999,Unknown,Timber slash,N/A
5/26/2011,San Joaquin Valley APCD,Merced,San Joaquin Valley,UNK,872,37.233,-120.804,UNK,US Fish and Wildlife Services,Windmill,Unknown,Natural,N/A
5/31/2011,San Joaquin Valley APCD,San Joaquin,San Joaquin Valley,UNK,0,37.653,-121.515,UNK,US Department of Energy,LLNL Site 300,Unknown,Natural,N/A
5/31/2011,San Joaquin Valley APCD,San Joaquin,San Joaquin Valley,UNK,0,37.653,-121.515,UNK,US Department of Energy,LLNL Site 300,Unknown,Natural,N/A
6/2/2011,San Joaquin Valley APCD,San Joaquin,San Joaquin Valley,UNK,0,37.653,-121.515,UNK,US Department of Energy,LLNL Site 300,Unknown,Natural,N/A
6/9/2011,San Joaquin Valley APCD,San Joaquin,San Joaquin Valley,UNK,0,37.653,-121.515,UNK,US Department of Energy,LLNL Site 300,Unknown,Natural,N/A
6/15/2011,San Joaquin Valley APCD,Fresno,San Joaquin Valley,UNK,0,37.135,-119.246,UNK,US Department of Energy,Azalea,Unknown,Natural,N/A
6/20/2011,San Joaquin Valley APCD,Fresno,San Joaquin Valley,UNK,0,37.135,-119.246,UNK,US Department of Energy,Azalea,Unknown,Natural,N/A
6/23/2011,Tuolumne County APCD,Tuolumne,Mountain Counties,UNK,0,38.22,-119.977,UNK,US Forest Service,Unit 7,Unknown,Natural,N/A
6/24/2011,Tuolumne County APCD,Tuolumne,Mountain Counties,UNK,0,38.22,-119.977,UNK,US Forest Service,Unit 7,Unknown,Natural,N/A
6/25/2011,San Joaquin Valley APCD,Fresno,San Joaquin Valley,UNK,0,36.787,-118.621,UNK,National Park Service,Hole-in-the-Wall,Unknown,Natural,N/A
6/27/2011,San Joaquin Valley APCD,Tulare,San Joaquin Valley,UNK,0,36.487,-118.842,UNK,National Park Service,Ash Mountain,Unknown,Natural,N/A
6/29/2011,San Joaquin Valley APCD,Tulare,San Joaquin Valley,UNK,0,36.487,-118.842,UNK,National Park Service,Ash Mountain,Unknown,Natural,N/A
6/29/2011,San Joaquin Valley APCD,Fresno,San Joaquin Valley,UNK,0,37.135,-119.246,UNK,National Park Service,Azalea,Unknown,Natural,N/A
7/10/2011,San Joaquin Valley APCD,Tulare,San Joaquin Valley,UNK,0,36.692,-118.917,UNK,National Park Service,Redwood Mountain,Unknown,Natural,N/A
7/11/2011,San Joaquin Valley APCD,Tulare,San Joaquin Valley,UNK,0,36.692,-118.917,UNK,National Park Service,Redwood Mountain,Unknown,Natural,N/A
7/12/2011,San Joaquin Valley APCD,Tulare,San Joaquin Valley,UNK,0,36.692,-118.917,UNK,National Park Service,Redwood Mountain,Unknown,Natural,N/A
7/12/2011,San Joaquin Valley APCD,Fresno,San Joaquin Valley,UNK,0,36.681,-120.344,UNK,California Department of Fish and Wildlife,Mendota,Unknown,Natural,N/A
7/13/2011,San Joaquin Valley APCD,Tulare,San Joaquin Valley,UNK,0,36.692,-118.917,UNK,National Park Service,Redwood Mountain,Unknown,Natural,N/A
8/30/2011,Placer County APCD,Placer,Lake Tahoe,85,0,39.131,-120.181,T15N R16E 23,US Forest Service,Ward 22,Hand Pile,Slash,N/A
8/30/2011,Placer County APCD,Placer,Lake Tahoe,85,0,39.131,-120.181,T15N R16E 23,US Forest Service,Ward 22,Hand Pile,Slash,N/A
9/25/2011,San Joaquin Valley APCD,Fresno,San Joaquin Valley,UNK,0,36.74,-118.972,UNK,National Park Service,Swale East 1 & 2,Unknown,Natural,N/A
10/1/2011,San Joaquin Valley APCD,Tulare,San Joaquin Valley,UNK,0,36.555,-118.76,UNK,National Park Service,Huckleberry,Unknown,Natural,N/A
10/1/2011,San Joaquin Valley APCD,Tulare,San Joaquin Valley,UNK,0,36.353,-118.825,UNK,Cal Fire,Grouse VMP,Unknown,Natural,N/A
10/2/2011,San Joaquin Valley APCD,Tulare,San Joaquin Valley,UNK,0,36.555,-118.76,UNK,National Park Service,Huckleberry,Unknown,Natural,N/A
10/2/2011,San Joaquin Valley APCD,Fresno,San Joaquin Valley,UNK,0,36.807,-118.915,UNK,US Forest Service,Tornado Unit 1 Understory,Unknown,Natural,N/A
10/3/2011,El Dorado County AQMD,El Dorado,Lake Tahoe,UNK,0,38.895,-120.041,UNK,US Forest Service,Angora HT 8,Unknown,N/A,N/A
10/3/2011,El Dorado County AQMD,El Dorado,Lake Tahoe,UNK,0,38.887,-120.052,UNK,US Forest Service,Angora 16,Unknown,N/A,N/A
9/3/2011,San Joaquin Valley APCD,Fresno,San Joaquin Valley,UNK,10,37.93,-119.2,UNK,US Forest Service,Bear Creek,Unknown,N/A,N/A
10/3/2011,El Dorado County AQMD,El Dorado,Lake Tahoe,40,0,38.887,-120.052,T12 R17 13,US Forest Service,Angora 16,Hand Pile,N/A,N/A
10/3/2011,El Dorado County AQMD,El Dorado,Lake Tahoe,41,0,38.895,-120.041,T12 R17 13,US Forest Service,Angora HT 8,Hand Pile,N/A,N/A
10/3/2011,El Dorado County AQMD,El Dorado,Lake Tahoe,29,0,38.887,-120.052,T12 R17 13,US Forest Service,Angora HT 6,Hand Pile,N/A,N/A
10/3/2011,El Dorado County AQMD,El Dorado,Lake Tahoe,UNK,0,38.887,-120.052,UNK,US Forest Service,Angora HT 6,Unknown,N/A,N/A
10/4/2011,El Dorado County AQMD,El Dorado,Lake Tahoe,29,0,38.887,-120.052,T12 R17 13,US Forest Service,Angora HT 6,Hand Pile,N/A,N/A
10/5/2011,El Dorado County AQMD,El Dorado,Lake Tahoe,40,0,38.887,-120.052,T12 R17 13,US Forest Service,Angora 16,Hand Pile,N/A,N/A
10/5/2011,El Dorado County AQMD,El Dorado,Lake Tahoe,29,0,38.887,-120.052,T12 R17 13,US Forest Service,Angora HT 6,Hand Pile,N/A,N/A
10/5/2011,El Dorado County AQMD,El Dorado,Lake Tahoe,41,0,38.895,-120.041,T12 R17 13,US Forest Service,Angora HT 8,Hand Pile,N/A,N/A
10/5/2011,El Dorado County AQMD,El Dorado,Lake Tahoe,40,0,38.887,-120.052,T12 R17 13,US Forest Service,Angora 16,Hand Pile,N/A,N/A
10/5/2011,Monterey Bay Unified APCD,Santa Cruz,North Central Coast,UNK,0,36.999,-122.09,UNK,California State Parks,Wilder Grasslands Prescribed Burn,Unknown,Natural,N/A
10/5/2011,El Dorado County AQMD,El Dorado,Lake Tahoe,1,0,38.946,-120.098,T13N R17E 28,US Forest Service,Emerald Bay South 5-2 ABC,Hand Pile,Natural,N/A
10/5/2011,El Dorado County AQMD,El Dorado,Lake Tahoe,20,0,38.945,-120.102,T13N R17E 28,US Forest Service,Emerald Bay South 5-5A,Hand Pile,Natural,N/A
10/5/2011,El Dorado County AQMD,El Dorado,Lake Tahoe,41,0,38.895,-120.041,T12 R17 13,US Forest Service,Angora HT 8,Hand Pile,N/A,N/A
