Ignition Date,Agency,Office,District,Burn Number,Burn Name,Daily Burn Acres Requested,Acres Burned,Location
1/27/2016,U.S. Forest Service,Prescott,Bradshaw,PNF0337P,West Zone Piles,30,0,(34.51218701599357; -112.44613093088753)
1/27/2016,U.S. Forest Service,Prescott,Bradshaw,PNF0337P,West Zone Piles,30,0,(34.53911472452422; -112.57158104211464)
1/27/2016,U.S. Forest Service,,Payson,TNF0403P,Verde,182,0,(34.38136950661579; -111.26534097290039)
1/27/2016,U.S. Forest Service,Coconino,Flagstaff (COF),COF0532P,Mountainaire,50,20,(35.08632131698521; -111.61133255004876)
1/27/2016,U.S. Forest Service,Coronado,Safford,CNF0417B,Galiuros (Muleshoe unit),500,75,(32.44807412824926; -110.21642797851564)
1/28/2016,U.S. Forest Service,Prescott,Bradshaw,PNF0337P,West Zone Piles,30,8,(34.51181925307705; -112.44530694789625)
1/28/2016,U.S. Forest Service,Prescott,Bradshaw,PNF0337P,West Zone Piles,30,5,(34.53201595820321; -112.57171838221745)
1/28/2016,U.S. Forest Service,Coconino,Flagstaff (COF),COF0532P,Mountainaire,50,20,(35.091237558191686; -111.59811462402342)
1/28/2016,U.S. Forest Service,Coronado,Safford,CNF0417B,Galiuros (Muleshoe unit),500,75,(32.453868392619164; -110.22329443359376)
1/28/2016,U.S. Forest Service,,Payson,TNF0403P,Verde,182,182,(34.38; -111.26999999999998)
1/29/2016,U.S. Forest Service,,Payson,TNF0403B,Verde,182,182,(34.311; -111.351)
1/29/2016,U.S. Forest Service,Prescott,Bradshaw,PNF0337P,West Zone Piles,30,4,(34.51215872858841; -112.44166772460937)
1/29/2016,U.S. Forest Service,Prescott,Bradshaw,PNF0337P,West Zone Piles,20,20,(34.53009266611863; -112.577623556111)
1/29/2016,U.S. Forest Service,Coronado,Safford,CNF0417B,Galiuros (Muleshoe unit),250,10,(32.44923301093082; -110.21780126953126)
1/29/2016,U.S. Forest Service,Coconino,Flagstaff (COF),COF0532P,Mountainaire,100,100,(35.089552023162646; -111.59056152343748)
