Ignition Date,Agency,Office,District,Burn Number,Burn Name,Daily Burn Acres Requested,Acres Burned,Location
1/24/2018,U.S. Forest Service,Apache Sitgreaves,Springerville,ASF629P,East Zone Piles (Springerville),20,1,(34.089324703040226; -109.48690286719193)
1/24/2018,U.S. Forest Service,Coconino,Flagstaff (COF),COF0224P,Flagstaff RD Piles,20,20,(35.15166273171969; -111.67126812040249)
1/24/2018,U.S. Forest Service,Kaibab,Tusayan,KNF0425P,Tusayan Piles,50,50,(35.91896880510813; -112.15213574218751)
1/24/2018,U.S. Forest Service,Prescott,Verde,PNF0509P,East Side Piles,100,100,(34.49266340250259; -111.97516744965128)
1/24/2018,U.S. Forest Service,Coconino,Mogollon ,COF738P,Misc Piles Mogollon Rim,30,30,(34.61133149084687; -111.1247294099312)
1/24/2018,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,50,18,(36.709111801099134; -112.22628338623048)
1/24/2018,U.S. Forest Service,,Tonto Basin,TNF0611P,Misc. Piles,2,2,(33.761; -111.23399999999998)
1/24/2018,U.S. Forest Service,Coconino,Flagstaff (COF),COF0224P,Flagstaff RD Piles,2,2,(34.97232645092205; -111.69176840209963)
1/24/2018,U.S. Forest Service,Coconino,Flagstaff (COF),COF0224P,Flagstaff RD Piles,2,2,(34.97232645092205; -111.69176840209963)
1/24/2018,U.S. Forest Service,Coconino,Mogollon ,COF738P,Misc Piles Mogollon Rim,20,20,(34.780244800725605; -111.50691624090632)
1/25/2018,U.S. Forest Service,Coconino,Flagstaff (COF),COF0224P,Flagstaff RD Piles,10,10,(35.36402064364733; -111.78110222215207)
1/25/2018,U.S. Forest Service,Coconino,Flagstaff (COF),COF0224P,Flagstaff RD Piles,300,300,(35.08754970708031; -111.61580434417726)
1/25/2018,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,50,48,(36.7225971418076; -112.22662670898438)
1/26/2018,U.S. Forest Service,Coconino,Flagstaff (COF),COF0224P,Flagstaff RD Piles,500,300,(35.06517740506628; -111.64301267242433)
1/26/2018,U.S. Forest Service,Prescott,Verde,PNF0509P,East Side Piles,200,200,(34.465433369543284; -111.90206628417974)
1/26/2018,U.S. Forest Service,Kaibab,Tusayan,KNF0425P,Tusayan Piles,100,0,(35.91896880510813; -112.15213574218751)
1/27/2018,National Park Service,,Grand Canyon Park,GCP0303P,South Rim Piles,10,10,(36.03582524557758; -112.13003549194337)
1/29/2018,U.S. Forest Service,Coconino,Flagstaff (COF),COF0224P,Flagstaff RD Piles,2,2,(35.27811453525661; -111.57919755554201)
1/29/2018,U.S. Forest Service,Coconino,Flagstaff (COF),COF0224P,Flagstaff RD Piles,10,3,(35.151892914571405; -111.65700307464601)
1/29/2018,U.S. Forest Service,,Payson,TNF0405B,Payson,250,1,(34.206264862482484; -111.33899157714842)
1/29/2018,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,50,50,(36.71544194968678; -112.22800000000001)
1/30/2018,U.S. Forest Service,Prescott,Verde,PNF0509P,East Side Piles,100,100,(34.50979100121678; -111.95807080841064)
1/30/2018,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,100,100,(36.71544194968675; -112.22594006347657)
1/31/2018,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,50,30,(36.40990195085587; -112.15246899414063)
1/31/2018,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,200,155,(36.71213932853452; -112.23005993652344)
1/31/2018,U.S. Forest Service,Prescott,Verde,PNF0509P,East Side Piles,100,100,(34.566; -112.106)
2/1/2018,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,50,28,(36.406309926980334; -112.14182598876954)
2/1/2018,U.S. Forest Service,Prescott,Verde,PNF0509P,East Side Piles,100,100,(34.49048029095753; -111.93588357543945)
2/6/2018,U.S. Forest Service,Prescott,Verde,PNF1601B,Agua Fria Grassland Restoration,500,500,(34.46143940798068; -111.94738696289062)
2/6/2018,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,50,50,(36.414875248196175; -112.14903576660157)
2/7/2018,Department of Defense,,Ft Huachuca,XXH1706B,Fortwide RX,843,830,(31.528417252005678; -110.32726708984376)
2/7/2018,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,50,50,(36.43089815129098; -112.14903576660157)
2/7/2018,U.S. Forest Service,Prescott,Verde,PNF1601B,Agua Fria Grassland Restoration,4225,1000,(34.46766676150825; -111.94043467712401)
2/8/2018,U.S. Forest Service,Prescott,Verde,PNF0509P,East Side Piles,200,200,(34.476188900990564; -111.98652368164062)
2/8/2018,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,50,50,(36.40409936820373; -112.14972241210938)
2/8/2018,U.S. Forest Service,Prescott,Verde,PNF1601B,Agua Fria Grassland Restoration,1225,225,(34.47; -111.94299999999998)
2/9/2018,U.S. Forest Service,Coronado,Safford,CNF412B,Little Bull,500,175,(32.54614899034796; -110.22270991516114)
2/10/2018,U.S. Forest Service,Coronado,Safford,CNF412B,Little Bull,500,0,(32.54853656470219; -110.23429705810548)
2/11/2018,U.S. Forest Service,Coronado,Safford,CNF412B,Little Bull,500,0,(32.5388411712442; -110.22228076171876)
2/12/2018,U.S. Forest Service,Coronado,Safford,CNF412B,Little Bull,500,0,(32.529651287295465; -110.22090747070314)
2/12/2018,U.S. Forest Service,Apache Sitgreaves,Lakeside,ASF0772P,Lakeside Piles,25,0,(34.231; -109.75277)
2/12/2018,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,50,29,(36.41432267532684; -112.14766247558595)
2/12/2018,U.S. Forest Service,Prescott,Verde,PNF0509P,East Side Piles,200,151,(34.48885317700933; -111.99798207855224)
2/13/2018,Bureau of Land Management,Colorado River,Colorado River (CRD),CRD0017PP,North Hualapai Piles,20,20,(35.102947307098056; -113.88877563476563)
2/13/2018,U.S. Forest Service,,Payson,TNF0408P,Myrtle,10,1,(34.33998919620051; -111.19583386230465)
2/13/2018,U.S. Forest Service,Kaibab,Tusayan,KNF0425P,Tusayan Piles,100,100,(35.96430736324103; -112.15354495239256)
2/13/2018,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,50,40,(36.72376667714125; -112.21461041259766)
2/13/2018,U.S. Forest Service,Coconino,Flagstaff (COF),COF0224P,Flagstaff RD Piles,10,10,(35.15247679297637; -111.65724166551979)
2/13/2018,U.S. Forest Service,Kaibab,Williams,KNF0133P,South Side Piles,142,79,(35.154179458530734; -112.18280334472655)
2/13/2018,U.S. Forest Service,Coronado,Safford,CNF412B,Little Bull,400,200,(32.5376834423584; -110.21747424316407)
2/14/2018,Arizona Department of Forestry and Fire Management,,Northern District,AZS1601P,Northern District Programmatic Piles,40,28,(35.2323634808071; -112.17783358765814)
2/14/2018,Arizona Department of Transportation (ADOT),,Arizona (ADOT),ADOT1111aB,Tumbleweed burning on I-15,2,2,(36.946; -113.69999999999999)
2/14/2018,U.S. Forest Service,Coconino,Mogollon ,COF0703P,Bly Pit,1,1,(34.674; -111.118)
2/14/2018,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,100,100,(36.71764361824968; -112.22319348144532)
2/14/2018,U.S. Forest Service,Coronado,Safford,CNF412B,Little Bull,600,60,(32.541907261397824; -110.22156677246096)
2/14/2018,U.S. Forest Service,,Tonto Basin,TNF0611P,Misc. Piles,2,2,(33.761; -111.23399999999998)
2/14/2018,U.S. Forest Service,Kaibab,Tusayan,KNF0425P,Tusayan Piles,100,75,(35.91896880510813; -112.15213574218751)
2/15/2018,Arizona Department of Forestry and Fire Management,,Northern District,AZS1601P,Northern District Programmatic Piles,40,35,(35.2333225493267; -112.17771218888742)
2/15/2018,U.S. Forest Service,Coronado,Safford,CNF412B,Little Bull,500,0,(32.513801956107386; -110.2269156188965)
2/15/2018,U.S. Forest Service,Coconino,Flagstaff (COF),COF0224P,Flagstaff RD Piles,20,20,(34.9567623944263; -111.25048311383023)
2/15/2018,U.S. Forest Service,Apache Sitgreaves,Lakeside,ASF0772P,Lakeside Piles,25,25,(34.23124248536092; -109.75227715561539)
2/15/2018,U.S. Forest Service,Apache Sitgreaves,Alpine,ASF140P,East Zone Piles (Alpine),6,6,(33.78716522387855; -109.07505280634632)
2/15/2018,U.S. Forest Service,Kaibab,Williams,KNF0133P,South Side Piles,106,0,(35.18043310752074; -112.07465820312501)
2/15/2018,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,50,50,(36.718194025531346; -112.2273133544922)
2/16/2018,Bureau of Land Management,,Phoenix (PHD),PHD208P,Congress Pile,1,1,(34.185850357755704; -112.82610588073731)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,1,1,(32.63247500356715; -109.81998950195316)
2/16/2018,U.S. Forest Service,Kaibab,Tusayan,KNF0425P,Tusayan Piles,100,90,(35.91896880510813; -112.15213574218751)
2/20/2018,Department of Defense,,Ft Huachuca,XXH1501P,Fort Huachuca Piles,10,1,(31.473543607220194; -110.34991271981221)
2/20/2018,U.S. Forest Service,Kaibab,Tusayan,KNF0425P,Tusayan Piles,100,100,(35.95319139694651; -112.16727786254881)
2/20/2018,U.S. Forest Service,,Payson,TNF0408P,Myrtle,75,0,(34.33900196214646; -111.19353700604932)
2/20/2018,U.S. Forest Service,Prescott,Verde,PNF1101P,Pronghorn Piles,179,100,(34.31624435613114; -111.95248981475822)
2/20/2018,U.S. Forest Service,Prescott,Verde,PNF0509P,East Side Piles,173,140,(34.46755628159204; -112.00729470825195)
2/21/2018,Arizona Department of Forestry and Fire Management,,Northern District,AZS1601P,Northern District Programmatic Piles,40,15,(35.194852564145876; -111.77771457066342)
2/21/2018,Arizona Department of Forestry and Fire Management,,Northeast District,A2S1602P,Northeast District Programmatic Piles,50,25,(34.11455617400809; -109.49560046386716)
2/21/2018,Arizona Department of Forestry and Fire Management,,Northeast District,A2S1602P,Northeast District Programmatic Piles,10,4,(34.277653021287925; -109.81999475097655)
2/21/2018,U.S. Forest Service,,Payson,TNF0408P,Myrtle,150,0,(34.3411060961201; -111.14845532226559)
2/21/2018,U.S. Forest Service,Prescott,Verde,PNF0509P,East Side Piles,173,33,(34.48666006015609; -111.98412042236328)
2/21/2018,U.S. Forest Service,Kaibab,Tusayan,KNF0425P,Tusayan Piles,50,4,(35.95291347840191; -112.17603259255202)
2/21/2018,U.S. Forest Service,Apache Sitgreaves,Alpine,ASF140P,East Zone Piles (Alpine),105,105,(33.947082452512234; -109.21862455228529)
2/21/2018,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,200,200,(36.715441949686934; -112.22456677246094)
2/21/2018,U.S. Forest Service,Apache Sitgreaves,Lakeside,ASF0772P,Lakeside Piles,40,40,(34.246; -109.74099999999998)
2/22/2018,U.S. Fish & Wildlife Service,,Imperial ,AZIMRFY18RX03B,AZIMRFY18RX Field 18,12,12,(32.98537092154269; -114.48212318420411)
2/22/2018,U.S. Fish & Wildlife Service,,Imperial ,AZIMRFY18RX02B,AZIMRFY18RX Field 14,14,14,(32.983283024291666; -114.49143581390382)
2/22/2018,U.S. Forest Service,Apache Sitgreaves,Alpine,ASF140P,East Zone Piles (Alpine),90,90,(33.93237103010389; -109.18943693713936)
2/22/2018,U.S. Forest Service,Apache Sitgreaves,Black Mesa,ASF0210P,Black Mesa West Piles,20,10,(34.39444748249043; -110.81919562369586)
2/22/2018,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,200,200,(36.718194025531346; -112.2273133544922)
2/23/2018,Arizona Department of Forestry and Fire Management,,Northern District,AZS1601P,Northern District Programmatic Piles,50,20,(35.23420590202804; -112.21800881702734)
2/23/2018,U.S. Forest Service,Coconino,Flagstaff (COF),COF0224P,Flagstaff RD Piles,200,200,(35.081895749165405; -111.63661828613283)
2/23/2018,U.S. Forest Service,Kaibab,Williams,KNF0133P,South Side Piles,106,65,(35.18168366356611; -112.15945739746093)
2/24/2018,U.S. Forest Service,Kaibab,Williams,KNF0133P,South Side Piles,251,65,(35.14147667383396; -112.23567504882811)
2/24/2018,U.S. Forest Service,Kaibab,Tusayan,KNF0425P,Tusayan Piles,93,0,(35.843893867892795; -111.88631110382079)
2/25/2018,U.S. Forest Service,Coronado,Safford,CNF412B,Little Bull,400,0,(32.528754648339174; -110.24680786132813)
2/25/2018,U.S. Forest Service,Kaibab,Tusayan,KNF0425P,Tusayan Piles,93,0,(35.84166741481678; -111.88549571228026)
2/26/2018,Bureau of Land Management,Colorado River,Colorado River (CRD),CRD0017PP,North Hualapai Piles,10,10,(35.102947307098056; -113.88877563476563)
2/26/2018,Department of Defense,,Ft Huachuca,XXH1706B,Fortwide RX,130,0,(31.570986919833363; -110.35387460327149)
2/26/2018,U.S. Forest Service,Kaibab,Tusayan,KNF0425P,Tusayan Piles,93,93,(35.840832478801; -111.88489489746092)
2/26/2018,U.S. Forest Service,,Payson,TNF0408P,Myrtle,200,100,(34.33312862639623; -111.14653272322562)
2/26/2018,U.S. Forest Service,Kaibab,Williams,KNF0133P,South Side Piles,251,178,(35.13242209784568; -112.17061538696288)
2/26/2018,U.S. Forest Service,Coronado,Safford,CNF412B,Little Bull,500,500,(32.51626277942255; -110.21747424316407)
2/26/2018,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,200,200,(36.72755034590933; -112.22937329101563)
2/27/2018,Bureau of Land Management,,Arizona Strip (ASD),ASD2001P,AZ-Strip District Fuel Breaks Pile Burn,50,60,(36.359185905978244; -113.11870584106447)
2/27/2018,U.S. Forest Service,Apache Sitgreaves,Alpine,ASF140P,East Zone Piles (Alpine),200,200,(33.9316574689482; -109.15931039429688)
2/27/2018,U.S. Forest Service,Kaibab,Tusayan,KNF0425P,Tusayan Piles,44,0,(35.85196423637973; -111.88390784454344)
2/27/2018,U.S. Forest Service,,Payson,TNF0408P,Myrtle,200,0,(34.33458154965086; -111.18049422512945)
2/27/2018,U.S. Forest Service,Coconino,Red Rock,COF0605P,Red Rock Piles,1,1,(34.851554038733845; -111.91200833067972)
2/27/2018,U.S. Forest Service,Coronado,Safford,CNF412B,Little Bull,500,55,(32.5227763499476; -110.23052050781251)
2/27/2018,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,200,200,(36.7126897836513; -112.22937329101563)
2/27/2018,U.S. Forest Service,Kaibab,Williams,KNF0133P,South Side Piles,147,147,(35.18911942711997; -112.13439483642577)
2/28/2018,Arizona Department of Forestry and Fire Management,,Northeast District,A2S1602P,Northeast District Programmatic Piles,50,30,(34.09191271557498; -109.48628503417967)
2/28/2018,Arizona Department of Forestry and Fire Management,,Northeast District,A2S1602P,Northeast District Programmatic Piles,10,4,(34.30545041144577; -109.61606103515623)
2/28/2018,U.S. Fish & Wildlife Service,,Imperial ,AZ-IMR-FY19-RX-01 B,AZ-IMR-FY19-RX Field 21,11,11,(32.983283024291666; -114.49289493560792)
2/28/2018,U.S. Fish & Wildlife Service,,Imperial ,AZIMRFY18RX04B,AZIMRFY18RX Bermuda Grass Fields,80,80,(32.992138249043066; -114.49036293029786)
2/28/2018,U.S. Forest Service,Coconino,Flagstaff (COF),COF0224P,Flagstaff RD Piles,10,10,(35.23010333041192; -111.5854631958008)
2/28/2018,U.S. Forest Service,Apache Sitgreaves,Black Mesa,ASF0210P,Black Mesa West Piles,100,100,(34.290134360878916; -110.87118505859376)
2/28/2018,U.S. Forest Service,Kaibab,Williams,KNF0133P,South Side Piles,46,46,(35.24171151985466; -112.1881248474121)
2/28/2018,U.S. Forest Service,Kaibab,Williams,KNF0133P,South Side Piles,175,103,(35.119; -112.18399999999997)
2/28/2018,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,16,0,(36.21694162730083; -112.06372006225587)
2/28/2018,U.S. Forest Service,,Payson,TNF0408P,Myrtle,200,8,(34.33259705881102; -111.18089766708385)
2/28/2018,U.S. Forest Service,Apache Sitgreaves,Springerville,ASF629P,East Zone Piles (Springerville),198,63,(34.06981154184969; -109.4771362238489)
3/1/2018,Department of Defense,,Ft Huachuca,XXH1501P,Fort Huachuca Piles,5,4,(31.535087405426818; -110.37858016967772)
3/1/2018,U.S. Forest Service,,Mesa,TNF0301P,Mesa RD Admin/Rec Site Piles,1,1,(33.52842760604667; -111.42303051757812)
3/1/2018,U.S. Forest Service,,Payson,TNF0408P,Myrtle,100,0,(34.333542516382124; -111.1801594414394)
3/2/2018,U.S. Forest Service,Kaibab,Williams,KNF0133P,South Side Piles,20,20,(35.09226099495064; -112.20709342956542)
3/5/2018,U.S. Forest Service,,Payson,TNF0403B,Verde,400,0,(34.39565512626852; -111.27458143441379)
3/5/2018,U.S. Forest Service,Coconino,Flagstaff (COF),COF0224P,Flagstaff RD Piles,1,1,(35.283; -111.72500000000002)
3/6/2018,U.S. Forest Service,Coronado,Safford,CNF412B,Little Bull,1000,800,(32.53739400780491; -110.24528338623048)
3/7/2018,Department of Defense,,Ft Huachuca,XXH1706B,Fortwide RX,113,113,(31.570840674498384; -110.35730783081055)
3/7/2018,U.S. Forest Service,Coronado,Safford,CNF412B,Little Bull,1000,900,(32.53189457406004; -110.23670031738282)
3/8/2018,Arizona Department of Transportation (ADOT),,Arizona (ADOT),ADOT1705P,Black Canyon City ADOT Yard,1,1,(34.05873433493047; -112.14375190734864)
3/8/2018,U.S. Forest Service,Coronado,Safford,CNF412B,Little Bull,1000,200,(32.526105332671875; -110.2298338623047)
3/8/2018,U.S. Forest Service,Coconino,Red Rock,COF0610B,Cedar Flat Broadcast,780,500,(34.59712509940281; -111.63105848693845)
3/8/2018,U.S. Forest Service,Coconino,Flagstaff (COF),COF0737B,Bar T Bar,250,90,(34.73090653579092; -111.00814895511792)
3/9/2018,U.S. Forest Service,Coronado,Safford,CNF412B,Little Bull,1000,100,(32.52668427359875; -110.22846057128907)
3/10/2018,U.S. Forest Service,Coronado,Safford,CNF412B,Little Bull,500,10,(32.52205265498207; -110.23807360839845)
3/13/2018,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,100,100,(36.714341091743606; -112.23005993652339)
3/14/2018,National Park Service,,Montezuma Castle,MCP-TZP1601PP,Montezuma Castle/Tuzigoot Piles,5,5,(34.77531536915395; -112.02687225341793)
3/14/2018,National Park Service,,Grand Canyon Park,GCP0301P,North Rim Piles Rx,32,16,(36.21794286942942; -112.06265577697758)
3/15/2018,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,200,190,(36.72259714180831; -112.22250683593751)
3/19/2018,U.S. Forest Service,,Mesa,TNF0301P,Mesa RD Admin/Rec Site Piles,1,1,(33.55818706669443; -111.53564038085938)
3/20/2018,Department of Defense,,Ft Huachuca,XXH1706B,Fortwide RX,504,380,(31.591167807369967; -110.30126039123536)
3/20/2018,U.S. Forest Service,Coronado,Safford,CNF412B,Little Bull,650,125,(32.523421041776864; -110.23944689941407)
3/21/2018,U.S. Forest Service,Coronado,Safford,CNF412B,Little Bull,800,30,(32.5313156667097; -110.22777392578126)
3/22/2018,U.S. Forest Service,,Mesa,TNF0301P,Mesa RD Admin/Rec Site Piles,1,1,(33.529; -111.548)
