Burn Date,Air District,County,Air Basin,Acres Requested,Acres Burned,Latitude,Longitude,Legal Location,Agency,Burn Unit,Burn Type,Fuel Type,Total Tons
1/3/2013,Placer County APCD,Placer,Sacramento Valley,9.5,9.5,39.015,-121.136,UNK,Bella Wildfire & Forestry Services,HBRP 1,Hand Pile,Natural,UNK
1/4/2013,Great Basin Unified APCD,Alpine,Great Basin Valleys,3,1,38.416,-119.493,UNK,US Forest Service,SMP not found,UNK,UNK,UNK
1/7/2013,Great Basin Unified APCD,Alpine,Great Basin Valleys,2,2,38.416,-119.493,UNK,US Forest Service,SMP not found,UNK,UNK,UNK
1/8/2013,Great Basin Unified APCD,Inyo,Great Basin Valleys,2,2,36.869,-118.159,T14n R7e S36,County of Inyo,Lower Owens River Project,UNK,UNK,UNK
1/8/2013,Great Basin Unified APCD,Alpine,Great Basin Valleys,2,5,38.416,-119.493,UNK,US Forest Service,SMP not found,UNK,UNK,UNK
1/9/2013,Northern Sierra AQMD,Plumas,Mountain Counties,10,0.5,39.937,-120.86,UNK,US Forest Service,American Valley,Hand Pile,Mixed Conifer,UNK
1/9/2013,Great Basin Unified APCD,Alpine,Great Basin Valleys,6,6,38.699,-119.826,UNK,US Forest Service,SMP not found,UNK,UNK,UNK
1/10/2013,Butte County AQMD,Butte,Sacramento Valley,UNK,32,39.837,-121.585,UNK,US Forest Service,Concow Green Pile Burn,UNK,UNK,UNK
1/10/2013,El Dorado County AQMD,El Dorado,Mountain Counties,3,2,38.704,-120.497,"T10E R24N S8, 9, 16",US Forest Service,Marshall Mine,Machine Pile,Slash,UNK
1/10/2013,Placer County APCD,Placer,Mountain Counties,0.5,0.5,39.28,-120.121,UNK,Northstar Fire Department,SMP not found,UNK,UNK,UNK
1/11/2013,Placer County APCD,Placer,Mountain Counties,0.5,0.5,39.28,-120.121,UNK,Northstar Fire Department,SMP not found,UNK,UNK,UNK
1/14/2013,El Dorado County AQMD,El Dorado,Mountain Counties,5,2,38.771,-120.635,"T10E R24N S8, 9, 16",US Forest Service,Badger Hill,Hand Pile,Brush,10
1/14/2013,El Dorado County AQMD,El Dorado,Mountain Counties,2,1,38.711,-120.594,UNK,US Forest Service,Marshall Mine--Sly Park,Broadcast,Natural,UNK
1/22/2013,Great Basin Unified APCD,Mono,Great Basin Valleys,48,48,37.704,-118.924,UNK,US Forest Service,27A,Hand Pile,Slash,UNK
1/23/2013,Northern Sierra AQMD,Plumas,Mountain Counties,5,1,39.937,-120.86,UNK,US Forest Service,American Valley,Hand Pile,Mixed Conifer,UNK
1/23/2013,Placer County APCD,Placer,Sacramento Valley,20,5,39.015,-121.136,"T10N R13E S18, 19",Bella Wildfire & Forestry Services,HBRP 1,Hand Pile,Natural,UNK
1/23/2013,Great Basin Unified APCD,Inyo,Great Basin Valleys,4,4,36.869,-118.159,T9N R13E S34,County of Inyo,Lower Owens River Project,Broadcast,UNK,UNK
1/23/2013,Glenn County APCD,Glenn,Sacramento Valley,135,135,39.686,-122.709,UNK,US Forest Service,SMP not found,UNK,UNK,UNK
1/23/2013,Great Basin Unified APCD,Alpine,Great Basin Valleys,8,7,38.416,-119.493,UNK,US Forest Service,SMP not found,UNK,UNK,UNK
1/24/2013,Placer County APCD,Placer,Sacramento Valley,10,5,39.015,-121.136,T9N R13E S34,Bella Wildfire & Forestry Services,HBRP 1,Hand Pile,Natural,UNK
1/24/2013,Great Basin Unified APCD,Inyo,Great Basin Valleys,2,2,36.869,-118.159,"T10E R24N S8, 9, 16",County of Inyo,Lower Owens River Project,UNK,UNK,UNK
1/24/2013,Tehama County APCD,Tehama,Sacramento Valley,1,1,39.924,-122.889,UNK,US Forest Service,Tehama County Pile Burning,Hand Pile,Slash,UNK
1/25/2013,Placer County APCD,Placer,Sacramento Valley,10,5,39.015,-121.136,T9N R13E S34,Bella Wildfire & Forestry Services,HBRP 1,Hand Pile,Natural,UNK
1/25/2013,Placer County APCD,Placer,Mountain Counties,0.25,0.1,39.28,-120.121,UNK,Northstar Fire Department,SMP not found,UNK,UNK,UNK
1/28/2013,Placer County APCD,Placer,Mountain Counties,0.25,0.25,39.28,-120.121,UNK,Northstar Fire Department,SMP not found,UNK,UNK,UNK
1/29/2013,Great Basin Unified APCD,Mono,Great Basin Valleys,44,44,37.638,-118.931,"T23-25 R6,8,10 S21,4,28,3,2,10,11,19,27,28,33,29,22,",US Forest Service,4A,Hand Pile,Slash,UNK
1/29/2013,El Dorado County AQMD,El Dorado,Lake Tahoe,3,1.5,38.951,-120.109,"T23-25 R6,8,10 S21,4,28,3,2,10,11,19,27,28,33,29,22,",California State Parks,Emerald Bay / So. Bliss burn piles,Hand Pile,Slash,UNK
1/30/2013,Great Basin Unified APCD,Inyo,Great Basin Valleys,3,3,36.869,-118.159,"T13N R17E S15, 21, 22, 28",County of Inyo,Lower Owens River Project,UNK,UNK,UNK
1/31/2013,Butte County AQMD,Butte,Sacramento Valley,UNK,2,39.646,-121.969,UNK,US Fish and Wildlife Services,Dead Mans Reach Piles,Machine Pile,Natural,UNK
1/31/2013,Great Basin Unified APCD,Inyo,Great Basin Valleys,3,3,36.869,-118.159,UNK,County of Inyo,Lower Owens River Project,UNK,UNK,UNK
2/1/2013,Butte County AQMD,Butte,Sacramento Valley,UNK,3,39.936,-121.659,UNK,Sierra Pacific Industries,SMP not found,UNK,UNK,UNK
2/1/2013,Butte County AQMD,Butte,Sacramento Valley,21.356,21.356,39.883,-121.513,UNK,Sierra Pacific Industries,SMP not found,UNK,UNK,UNK
2/4/2013,Shasta County AQMD,Shasta,Sacramento Valley,27,27,40.791,-122.565,"T13N R17E S15, 21, 22, 28",Bureau of Land Management,AA,Broadcast,Natural,UNK
2/4/2013,Shasta County AQMD,Shasta,Sacramento Valley,UNK,18,40.775,-122.349,TNA RNA SNA,US Forest Service,Northwoods Deuce - Block E,Broadcast,Natural,UNK
2/4/2013,Butte County AQMD,Butte,Sacramento Valley,21.356,21.356,39.883,-121.513,UNK,Sierra Pacific Industries,SMP not found,UNK,UNK,UNK
2/5/2013,Shasta County AQMD,Shasta,Sacramento Valley,9,9,40.791,-122.565,"T13N R17E S15, 21, 22, 28",Bureau of Land Management,BB,Broadcast,Natural,UNK
2/5/2013,El Dorado County AQMD,El Dorado,Lake Tahoe,1.5,1.5,38.951,-120.109,TNA RNA SNA,California State Parks,Emerald Bay / So. Bliss burn piles,Hand Pile,Slash,UNK
2/5/2013,Great Basin Unified APCD,Inyo,Great Basin Valleys,17,17,36.599,-118.214,TNA RNA SNA,US Forest Service,Hogback,Broadcast,Natural,UNK
2/5/2013,Great Basin Unified APCD,Inyo,Great Basin Valleys,2,2,36.869,-118.159,TNA RNA SNA,County of Inyo,Lower Owens River Project,UNK,UNK,UNK
2/5/2013,Shasta County AQMD,Shasta,Sacramento Valley,UNK,100,40.775,-122.349,UNK,US Forest Service,Northwoods Deuce - Block E,Broadcast,Natural,UNK
2/5/2013,Tehama County APCD,Tehama,Sacramento Valley,19.615,19.615,40.197,-121.595,UNK,Sierra Pacific Industries,SMP not found,UNK,UNK,UNK
2/5/2013,Tehama County APCD,Tehama,Sacramento Valley,20.449,20.449,40.191,-121.577,UNK,Sierra Pacific Industries,SMP not found,UNK,UNK,UNK
2/5/2013,Tehama County APCD,Tehama,Sacramento Valley,22.04,22.04,40.19,-121.598,UNK,Sierra Pacific Industries,SMP not found,UNK,UNK,UNK
2/5/2013,Shasta County AQMD,Shasta,Sacramento Valley,9,9,40.791,-122.565,"T13N R17E S15, 21, 22, 28",Bureau of Land Management,X,Broadcast,Natural,UNK
2/6/2013,Tehama County APCD,Tehama,Sacramento Valley,20.085,20.085,40.179,-121.59,UNK,Sierra Pacific Industries,SMP not found,UNK,UNK,UNK
2/6/2013,Shasta County AQMD,Shasta,Sacramento Valley,17,17,40.791,-122.565,"T13N R17E S15, 21, 22, 28",Bureau of Land Management,Y,Broadcast,Natural,UNK
2/7/2013,Northern Sierra AQMD,Plumas,Mountain Counties,2,2,39.937,-120.86,UNK,US Forest Service,American Valley,Hand Pile,Mixed Conifer,UNK
2/7/2013,Placer County APCD,Placer,Mountain Counties,0.25,0.25,39.28,-120.121,UNK,Northstar Fire Department,SMP not found,UNK,UNK,UNK
2/8/2013,Placer County APCD,Placer,Mountain Counties,1,1.5,39.066,-120.971,UNK,Cal Fire,Mt Howell Burn,UNK,UNK,UNK
2/8/2013,Placer County APCD,Placer,Mountain Counties,0.25,0.25,39.28,-120.121,UNK,Northstar Fire Department,SMP not found,UNK,UNK,UNK
2/8/2013,Placer County APCD,Placer,Sacramento Valley,2,2.5,38.857,-121.069,UNK,Cal Fire,Unit A,Hand Pile,Brush,UNK
2/11/2013,Great Basin Unified APCD,Mono,Great Basin Valleys,2,2,37.561,-118.75,UNK,US Forest Service,Crowley Communities Piles Unit 8,Hand Pile,Slash,UNK
2/11/2013,Placer County APCD,Placer,Mountain Counties,1.5,1.5,39.066,-120.971,UNK,Cal Fire,Mt Howell Burn,UNK,UNK,UNK
2/11/2013,Great Basin Unified APCD,Alpine,Great Basin Valleys,1,1,38.416,-119.493,UNK,US Forest Service,SMP not found,UNK,UNK,UNK
2/11/2013,Placer County APCD,Placer,Sacramento Valley,1.5,1.5,38.857,-121.069,UNK,Cal Fire,Unit A,Hand Pile,Brush,UNK
2/12/2013,El Dorado County AQMD,El Dorado,Mountain Counties,7,2,38.771,-120.635,T4 South R29 East S34 & 35,US Forest Service,Badger Hill,Hand Pile,Brush,10
2/12/2013,Tuolumne County APCD,Tuolumne,Mountain Counties,UNK,25,37.812,-120.241,UNK,Bureau of Land Management,Cobbs Creek,Hand Pile,Brush,UNK
2/12/2013,Great Basin Unified APCD,Mono,Great Basin Valleys,3,3,37.561,-118.75,T12N R8E S27,US Forest Service,Crowley Communities Piles Unit 8,Hand Pile,Slash,UNK
2/12/2013,Placer County APCD,Placer,Sacramento Valley,4,2,39.015,-121.136,UNK,Bella Wildfire & Forestry Services,HBRP 1,Hand Pile,Natural,UNK
2/12/2013,Great Basin Unified APCD,Inyo,Great Basin Valleys,2,2,36.869,-118.159,T12N R8E S27,County of Inyo,Lower Owens River Project,UNK,UNK,UNK
2/12/2013,Placer County APCD,Placer,Mountain Counties,1,1,39.066,-120.971,UNK,Cal Fire,Mt Howell Burn,UNK,UNK,UNK
2/12/2013,Placer County APCD,Placer,Lake Tahoe,1,0.5,39.237,-120.131,T12N R8E S27,US Forest Service,"North Shore Units 1A, 1B, 1C",Hand Pile,Slash,UNK
2/12/2013,Great Basin Unified APCD,Alpine,Great Basin Valleys,12,12,38.727,-119.788,UNK,Bureau of Land Management,SMP not found,UNK,UNK,UNK
2/12/2013,Placer County APCD,Placer,Sacramento Valley,1,1,38.853,-121.068,UNK,Cal Fire,Unit B,Hand Pile,Brush,UNK
2/12/2013,Great Basin Unified APCD,Inyo,Great Basin Valleys,UNK,5,0,0,T 15 S. R 34 E. SEC. 35 AND 36,US Forest Service,Whitney Portal Project Piles,Hand Pile,UNK,25
